date,Bitcoin News_unscaled,Bitcoin News_monthly,isPartial,scale,Bitcoin News
2023-11-28,59,30.0,,0.3,17.7
2023-11-29,62,30.0,,0.3,18.599999999999998
2023-11-30,44,30.0,,0.3,13.2
2023-12-01,46,30.0,,0.3,13.799999999999999
2023-12-02,60,30.0,,0.3,18.0
2023-12-03,48,43.0,False,0.43,20.64
2023-12-04,99,43.0,,0.43,42.57
2023-12-05,81,43.0,,0.43,34.83
2023-12-06,87,43.0,,0.43,37.41
2023-12-07,54,43.0,,0.43,23.22
2023-12-08,59,43.0,,0.43,25.37
2023-12-09,49,43.0,,0.43,21.07
2023-12-10,37,38.0,False,0.38,14.06
2023-12-11,100,38.0,,0.38,38.0
2023-12-12,57,38.0,,0.38,21.66
2023-12-13,54,38.0,,0.38,20.52
2023-12-14,47,38.0,,0.38,17.86
2023-12-15,46,38.0,,0.38,17.48
2023-12-16,38,38.0,,0.38,14.44
2023-12-17,39,35.0,False,0.35,13.649999999999999
2023-12-18,56,35.0,,0.35,19.599999999999998
2023-12-19,65,35.0,,0.35,22.75
2023-12-20,65,35.0,,0.35,22.75
2023-12-21,40,35.0,,0.35,14.0
2023-12-22,51,35.0,,0.35,17.849999999999998
2023-12-23,48,35.0,,0.35,16.799999999999997
2023-12-24,43,35.0,False,0.35,15.049999999999999
2023-12-25,39,35.0,,0.35,13.649999999999999
2023-12-26,53,35.0,,0.35,18.549999999999997
2023-12-27,46,35.0,,0.35,16.099999999999998
2023-12-28,54,35.0,,0.35,18.9
2023-12-29,69,35.0,,0.35,24.15
2023-12-30,51,35.0,,0.35,17.849999999999998
2023-12-31,36,57.0,False,0.57,20.52
2024-01-01,16,57.0,,0.57,9.12
2024-01-02,28,57.0,,0.57,15.959999999999999
2024-01-03,39,57.0,,0.57,22.229999999999997
2024-01-04,29,57.0,,0.57,16.529999999999998
2024-01-05,29,57.0,,0.57,16.529999999999998
2024-01-06,23,57.0,,0.57,13.11
2024-01-07,17,100.0,False,1.0,17.0
2024-01-08,46,100.0,,1.0,46.0
2024-01-09,54,100.0,,1.0,54.0
2024-01-10,100,100.0,,1.0,100.0
2024-01-11,56,100.0,,1.0,56.0
2024-01-12,29,100.0,,1.0,29.0
2024-01-13,18,100.0,,1.0,18.0
2024-01-14,15,35.0,False,0.35,5.25
2024-01-15,15,35.0,,0.35,5.25
2024-01-16,16,35.0,,0.35,5.6
2024-01-17,18,35.0,,0.35,6.3
2024-01-18,18,35.0,,0.35,6.3
2024-01-19,15,35.0,,0.35,5.25
2024-01-20,11,35.0,,0.35,3.8499999999999996
2024-01-21,8,30.0,False,0.3,2.4
2024-01-22,15,30.0,,0.3,4.5
2024-01-23,19,30.0,,0.3,5.7
2024-01-24,11,30.0,,0.3,3.3
2024-01-25,16,30.0,,0.3,4.8
2024-01-26,10,30.0,,0.3,3.0
2024-01-27,11,30.0,,0.3,3.3
2024-01-28,9,22.0,True,0.22,1.98
2024-01-29,9,22.0,,0.22,1.98
2024-01-30,12,22.0,,0.22,2.64
2024-01-31,11,22.0,,0.22,2.42
