date,Bitcoin Address_unscaled,Bitcoin Address_monthly,isPartial,scale,Bitcoin Address
2022-05-17,56,65.0,,0.65,36.4
2022-05-18,73,65.0,,0.65,47.45
2022-05-19,100,65.0,,0.65,65.0
2022-05-20,36,65.0,,0.65,23.400000000000002
2022-05-21,17,65.0,,0.65,11.05
2022-05-22,42,54.0,False,0.54,22.68
2022-05-23,61,54.0,,0.54,32.940000000000005
2022-05-24,35,54.0,,0.54,18.900000000000002
2022-05-25,46,54.0,,0.54,24.840000000000003
2022-05-26,13,54.0,,0.54,7.0200000000000005
2022-05-27,28,54.0,,0.54,15.120000000000001
2022-05-28,37,54.0,,0.54,19.98
2022-05-29,71,55.0,False,0.55,39.050000000000004
2022-05-30,79,55.0,,0.55,43.45
2022-05-31,13,55.0,,0.55,7.15
2022-06-01,36,55.0,,0.55,19.8
2022-06-02,64,55.0,,0.55,35.2
2022-06-03,40,55.0,,0.55,22.0
2022-06-04,61,55.0,,0.55,33.550000000000004
2022-06-05,58,60.0,False,0.6,34.8
2022-06-06,69,60.0,,0.6,41.4
2022-06-07,59,60.0,,0.6,35.4
2022-06-08,31,60.0,,0.6,18.599999999999998
2022-06-09,54,60.0,,0.6,32.4
2022-06-10,59,60.0,,0.6,35.4
2022-06-11,52,60.0,,0.6,31.2
2022-06-12,65,70.0,False,0.7,45.5
2022-06-13,42,70.0,,0.7,29.4
2022-06-14,91,70.0,,0.7,63.699999999999996
2022-06-15,53,70.0,,0.7,37.099999999999994
2022-06-16,100,70.0,,0.7,70.0
2022-06-17,60,70.0,,0.7,42.0
2022-06-18,89,70.0,,0.7,62.3
2022-06-19,35,69.0,False,0.69,24.15
2022-06-20,72,69.0,,0.69,49.67999999999999
2022-06-21,41,69.0,,0.69,28.29
2022-06-22,29,69.0,,0.69,20.009999999999998
2022-06-23,81,69.0,,0.69,55.88999999999999
2022-06-24,56,69.0,,0.69,38.64
2022-06-25,73,69.0,,0.69,50.37
2022-06-26,56,70.0,False,0.7,39.199999999999996
2022-06-27,99,70.0,,0.7,69.3
2022-06-28,89,70.0,,0.7,62.3
2022-06-29,49,70.0,,0.7,34.3
2022-06-30,72,70.0,,0.7,50.4
2022-07-01,93,70.0,,0.7,65.1
2022-07-02,66,70.0,,0.7,46.199999999999996
2022-07-03,56,68.0,False,0.68,38.080000000000005
2022-07-04,60,68.0,,0.68,40.800000000000004
2022-07-05,53,68.0,,0.68,36.04
2022-07-06,89,68.0,,0.68,60.52
2022-07-07,62,68.0,,0.68,42.160000000000004
2022-07-08,56,68.0,,0.68,38.080000000000005
2022-07-09,15,68.0,,0.68,10.200000000000001
2022-07-10,69,57.0,False,0.57,39.33
2022-07-11,53,57.0,,0.57,30.209999999999997
2022-07-12,34,57.0,,0.57,19.38
2022-07-13,28,57.0,,0.57,15.959999999999999
2022-07-14,68,57.0,,0.57,38.76
2022-07-15,67,57.0,,0.57,38.19
2022-07-16,36,57.0,,0.57,20.52
2022-07-17,48,63.0,False,0.63,30.240000000000002
2022-07-18,30,63.0,,0.63,18.9
2022-07-19,94,63.0,,0.63,59.22
2022-07-20,42,63.0,,0.63,26.46
2022-07-21,82,63.0,,0.63,51.660000000000004
2022-07-22,33,63.0,,0.63,20.79
2022-07-23,50,63.0,,0.63,31.5
2022-07-24,22,46.0,False,0.46,10.120000000000001
2022-07-25,22,46.0,,0.46,10.120000000000001
2022-07-26,76,46.0,,0.46,34.96
2022-07-27,100,46.0,,0.46,46.0
2022-07-28,36,46.0,,0.46,16.560000000000002
2022-07-29,44,46.0,,0.46,20.240000000000002
2022-07-30,34,46.0,,0.46,15.64
2022-07-31,49,43.0,False,0.43,21.07
2022-08-01,24,43.0,,0.43,10.32
2022-08-02,24,43.0,,0.43,10.32
2022-08-03,32,43.0,,0.43,13.76
2022-08-04,78,43.0,,0.43,33.54
2022-08-05,97,43.0,,0.43,41.71
2022-08-06,36,43.0,,0.43,15.48
2022-08-07,99,65.0,False,0.65,64.35000000000001
2022-08-08,49,65.0,,0.65,31.85
2022-08-09,53,65.0,,0.65,34.45
2022-08-10,61,65.0,,0.65,39.65
2022-08-11,67,65.0,,0.65,43.550000000000004
2022-08-12,100,65.0,,0.65,65.0
2022-08-13,23,65.0,,0.65,14.950000000000001
2022-08-14,76,53.0,False,0.53,40.28
2022-08-15,83,53.0,,0.53,43.99
2022-08-16,96,53.0,,0.53,50.88
2022-08-17,58,53.0,,0.53,30.740000000000002
2022-08-18,47,53.0,,0.53,24.91
2022-08-19,22,53.0,,0.53,11.66
2022-08-20,78,53.0,,0.53,41.34
2022-08-21,29,44.0,False,0.44,12.76
2022-08-22,17,44.0,,0.44,7.48
2022-08-23,57,44.0,,0.44,25.080000000000002
2022-08-24,64,44.0,,0.44,28.16
2022-08-25,55,44.0,,0.44,24.2
2022-08-26,39,44.0,,0.44,17.16
2022-08-27,54,44.0,,0.44,23.76
2022-08-28,63,53.0,False,0.53,33.39
2022-08-29,63,53.0,,0.53,33.39
2022-08-30,63,53.0,,0.53,33.39
2022-08-31,60,53.0,,0.53,31.8
2022-09-01,37,53.0,,0.53,19.61
2022-09-02,51,53.0,,0.53,27.03
2022-09-03,29,53.0,,0.53,15.370000000000001
2022-09-04,35,53.0,False,0.53,18.55
2022-09-05,53,53.0,,0.53,28.09
2022-09-06,46,53.0,,0.53,24.380000000000003
2022-09-07,42,53.0,,0.53,22.26
2022-09-08,35,53.0,,0.53,18.55
2022-09-09,64,53.0,,0.53,33.92
2022-09-10,32,53.0,,0.53,16.96
2022-09-11,62,55.0,False,0.55,34.1
2022-09-12,36,55.0,,0.55,19.8
2022-09-13,43,55.0,,0.55,23.650000000000002
2022-09-14,50,55.0,,0.55,27.500000000000004
2022-09-15,41,55.0,,0.55,22.55
2022-09-16,67,55.0,,0.55,36.85
2022-09-17,32,55.0,,0.55,17.6
2022-09-18,0,54.0,False,0.54,0.0
2022-09-19,100,54.0,,0.54,54.0
2022-09-20,37,54.0,,0.54,19.98
2022-09-21,53,54.0,,0.54,28.62
2022-09-22,29,54.0,,0.54,15.66
2022-09-23,0,54.0,,0.54,0.0
2022-09-24,32,54.0,,0.54,17.28
2022-09-25,44,59.0,False,0.59,25.959999999999997
2022-09-26,19,59.0,,0.59,11.209999999999999
2022-09-27,74,59.0,,0.59,43.66
2022-09-28,42,59.0,,0.59,24.779999999999998
2022-09-29,71,59.0,,0.59,41.89
2022-09-30,45,59.0,,0.59,26.549999999999997
2022-10-01,71,59.0,,0.59,41.89
2022-10-02,96,52.0,False,0.52,49.92
2022-10-03,94,52.0,,0.52,48.88
2022-10-04,76,52.0,,0.52,39.52
2022-10-05,54,52.0,,0.52,28.080000000000002
2022-10-06,18,52.0,,0.52,9.36
2022-10-07,28,52.0,,0.52,14.56
2022-10-08,43,52.0,,0.52,22.36
2022-10-09,81,42.0,False,0.42,34.019999999999996
2022-10-10,53,42.0,,0.42,22.259999999999998
2022-10-11,78,42.0,,0.42,32.76
2022-10-12,53,42.0,,0.42,22.259999999999998
2022-10-13,55,42.0,,0.42,23.099999999999998
2022-10-14,46,42.0,,0.42,19.32
2022-10-15,22,42.0,,0.42,9.24
2022-10-16,98,45.0,False,0.45,44.1
2022-10-17,61,45.0,,0.45,27.45
2022-10-18,43,45.0,,0.45,19.35
2022-10-19,56,45.0,,0.45,25.2
2022-10-20,85,45.0,,0.45,38.25
2022-10-21,74,45.0,,0.45,33.300000000000004
2022-10-22,0,45.0,,0.45,0.0
2022-10-23,65,43.0,False,0.43,27.95
2022-10-24,30,43.0,,0.43,12.9
2022-10-25,60,43.0,,0.43,25.8
2022-10-26,100,43.0,,0.43,43.0
2022-10-27,45,43.0,,0.43,19.35
2022-10-28,40,43.0,,0.43,17.2
2022-10-29,0,43.0,,0.43,0.0
2022-10-30,41,55.0,False,0.55,22.55
2022-10-31,17,55.0,,0.55,9.350000000000001
2022-11-01,57,55.0,,0.55,31.35
2022-11-02,75,55.0,,0.55,41.25
2022-11-03,69,55.0,,0.55,37.95
2022-11-04,52,55.0,,0.55,28.6
2022-11-05,55,55.0,,0.55,30.250000000000004
2022-11-06,55,58.0,False,0.58,31.9
2022-11-07,30,58.0,,0.58,17.4
2022-11-08,63,58.0,,0.58,36.54
2022-11-09,78,58.0,,0.58,45.239999999999995
2022-11-10,33,58.0,,0.58,19.139999999999997
2022-11-11,50,58.0,,0.58,28.999999999999996
2022-11-12,83,58.0,,0.58,48.13999999999999
2022-11-13,74,61.0,False,0.61,45.14
2022-11-14,40,61.0,,0.61,24.4
2022-11-15,93,61.0,,0.61,56.73
2022-11-16,48,61.0,,0.61,29.28
2022-11-17,54,61.0,,0.61,32.94
2022-11-18,64,61.0,,0.61,39.04
2022-11-19,38,61.0,,0.61,23.18
2022-11-20,39,52.0,False,0.52,20.28
2022-11-21,63,52.0,,0.52,32.76
2022-11-22,27,52.0,,0.52,14.040000000000001
2022-11-23,0,52.0,,0.52,0.0
2022-11-24,0,52.0,,0.52,0.0
2022-11-25,53,52.0,,0.52,27.560000000000002
2022-11-26,28,52.0,,0.52,14.56
2022-11-27,81,61.0,False,0.61,49.41
2022-11-28,100,61.0,,0.61,61.0
2022-11-29,39,61.0,,0.61,23.79
2022-11-30,32,61.0,,0.61,19.52
2022-12-01,77,61.0,,0.61,46.97
2022-12-02,35,61.0,,0.61,21.349999999999998
2022-12-03,27,61.0,,0.61,16.47
2022-12-04,61,47.0,False,0.47,28.669999999999998
2022-12-05,19,47.0,,0.47,8.93
2022-12-06,50,47.0,,0.47,23.5
2022-12-07,30,47.0,,0.47,14.1
2022-12-08,37,47.0,,0.47,17.39
2022-12-09,27,47.0,,0.47,12.69
2022-12-10,70,47.0,,0.47,32.9
2022-12-11,18,51.0,False,0.51,9.18
2022-12-12,24,51.0,,0.51,12.24
2022-12-13,64,51.0,,0.51,32.64
2022-12-14,45,51.0,,0.51,22.95
2022-12-15,40,51.0,,0.51,20.4
2022-12-16,47,51.0,,0.51,23.97
2022-12-17,49,51.0,,0.51,24.990000000000002
2022-12-18,58,50.0,False,0.5,29.0
2022-12-19,43,50.0,,0.5,21.5
2022-12-20,38,50.0,,0.5,19.0
2022-12-21,35,50.0,,0.5,17.5
2022-12-22,51,50.0,,0.5,25.5
2022-12-23,100,50.0,,0.5,50.0
2022-12-24,50,50.0,,0.5,25.0
2022-12-25,41,59.0,False,0.59,24.189999999999998
2022-12-26,45,59.0,,0.59,26.549999999999997
2022-12-27,66,59.0,,0.59,38.94
2022-12-28,81,59.0,,0.59,47.79
2022-12-29,0,59.0,,0.59,0.0
2022-12-30,47,59.0,,0.59,27.729999999999997
2022-12-31,47,59.0,,0.59,27.729999999999997
2023-01-01,100,56.0,False,0.56,56.00000000000001
2023-01-02,55,56.0,,0.56,30.800000000000004
2023-01-03,52,56.0,,0.56,29.120000000000005
2023-01-04,45,56.0,,0.56,25.200000000000003
2023-01-05,32,56.0,,0.56,17.92
2023-01-06,24,56.0,,0.56,13.440000000000001
2023-01-07,43,56.0,,0.56,24.080000000000002
2023-01-08,41,54.0,False,0.54,22.14
2023-01-09,47,54.0,,0.54,25.380000000000003
2023-01-10,22,54.0,,0.54,11.88
2023-01-11,30,54.0,,0.54,16.200000000000003
2023-01-12,44,54.0,,0.54,23.76
2023-01-13,77,54.0,,0.54,41.580000000000005
2023-01-14,45,54.0,,0.54,24.3
2023-01-15,54,63.0,False,0.63,34.02
2023-01-16,61,63.0,,0.63,38.43
2023-01-17,80,63.0,,0.63,50.4
2023-01-18,38,63.0,,0.63,23.94
2023-01-19,54,63.0,,0.63,34.02
2023-01-20,18,63.0,,0.63,11.34
2023-01-21,54,63.0,,0.63,34.02
2023-01-22,48,48.0,False,0.48,23.04
2023-01-23,29,48.0,,0.48,13.92
2023-01-24,19,48.0,,0.48,9.12
2023-01-25,53,48.0,,0.48,25.439999999999998
2023-01-26,33,48.0,,0.48,15.84
2023-01-27,27,48.0,,0.48,12.959999999999999
2023-01-28,27,48.0,,0.48,12.959999999999999
2023-01-29,43,67.0,False,0.67,28.810000000000002
2023-01-30,50,67.0,,0.67,33.5
2023-01-31,28,67.0,,0.67,18.76
2023-02-01,83,67.0,,0.67,55.61000000000001
2023-02-02,61,67.0,,0.67,40.870000000000005
2023-02-03,65,67.0,,0.67,43.550000000000004
2023-02-04,55,67.0,,0.67,36.85
2023-02-05,54,55.0,False,0.55,29.700000000000003
2023-02-06,60,55.0,,0.55,33.0
2023-02-07,70,55.0,,0.55,38.5
2023-02-08,59,55.0,,0.55,32.45
2023-02-09,72,55.0,,0.55,39.6
2023-02-10,45,55.0,,0.55,24.750000000000004
2023-02-11,49,55.0,,0.55,26.950000000000003
2023-02-12,30,62.0,False,0.62,18.6
2023-02-13,81,62.0,,0.62,50.22
2023-02-14,81,62.0,,0.62,50.22
2023-02-15,60,62.0,,0.62,37.2
2023-02-16,63,62.0,,0.62,39.06
2023-02-17,58,62.0,,0.62,35.96
2023-02-18,46,62.0,,0.62,28.52
2023-02-19,100,64.0,False,0.64,64.0
2023-02-20,79,64.0,,0.64,50.56
2023-02-21,83,64.0,,0.64,53.120000000000005
2023-02-22,51,64.0,,0.64,32.64
2023-02-23,93,64.0,,0.64,59.52
2023-02-24,66,64.0,,0.64,42.24
2023-02-25,51,64.0,,0.64,32.64
2023-02-26,53,53.0,False,0.53,28.09
2023-02-27,48,53.0,,0.53,25.44
2023-02-28,49,53.0,,0.53,25.970000000000002
2023-03-01,73,53.0,,0.53,38.690000000000005
2023-03-02,55,53.0,,0.53,29.150000000000002
2023-03-03,50,53.0,,0.53,26.5
2023-03-04,68,53.0,,0.53,36.04
2023-03-05,67,49.0,False,0.49,32.83
2023-03-06,28,49.0,,0.49,13.719999999999999
2023-03-07,56,49.0,,0.49,27.439999999999998
2023-03-08,38,49.0,,0.49,18.62
2023-03-09,31,49.0,,0.49,15.19
2023-03-10,75,49.0,,0.49,36.75
2023-03-11,64,49.0,,0.49,31.36
2023-03-12,97,66.0,False,0.66,64.02
2023-03-13,62,66.0,,0.66,40.92
2023-03-14,66,66.0,,0.66,43.56
2023-03-15,39,66.0,,0.66,25.740000000000002
2023-03-16,58,66.0,,0.66,38.28
2023-03-17,100,66.0,,0.66,66.0
2023-03-18,39,66.0,,0.66,25.740000000000002
2023-03-19,29,64.0,False,0.64,18.56
2023-03-20,69,64.0,,0.64,44.160000000000004
2023-03-21,59,64.0,,0.64,37.76
2023-03-22,45,64.0,,0.64,28.8
2023-03-23,97,64.0,,0.64,62.08
2023-03-24,87,64.0,,0.64,55.68
2023-03-25,45,64.0,,0.64,28.8
2023-03-26,86,63.0,False,0.63,54.18
2023-03-27,28,63.0,,0.63,17.64
2023-03-28,67,63.0,,0.63,42.21
2023-03-29,42,63.0,,0.63,26.46
2023-03-30,57,63.0,,0.63,35.910000000000004
2023-03-31,69,63.0,,0.63,43.47
2023-04-01,48,63.0,,0.63,30.240000000000002
2023-04-02,30,50.0,False,0.5,15.0
2023-04-03,26,50.0,,0.5,13.0
2023-04-04,31,50.0,,0.5,15.5
2023-04-05,38,50.0,,0.5,19.0
2023-04-06,11,50.0,,0.5,5.5
2023-04-07,37,50.0,,0.5,18.5
2023-04-08,57,50.0,,0.5,28.5
2023-04-09,70,62.0,False,0.62,43.4
2023-04-10,100,62.0,,0.62,62.0
2023-04-11,10,62.0,,0.62,6.2
2023-04-12,64,62.0,,0.62,39.68
2023-04-13,38,62.0,,0.62,23.56
2023-04-14,22,62.0,,0.62,13.64
2023-04-15,45,62.0,,0.62,27.9
2023-04-16,15,49.0,False,0.49,7.35
2023-04-17,29,49.0,,0.49,14.209999999999999
2023-04-18,48,49.0,,0.49,23.52
2023-04-19,22,49.0,,0.49,10.78
2023-04-20,32,49.0,,0.49,15.68
2023-04-21,42,49.0,,0.49,20.58
2023-04-22,28,49.0,,0.49,13.719999999999999
2023-04-23,41,56.0,False,0.56,22.96
2023-04-24,34,56.0,,0.56,19.040000000000003
2023-04-25,53,56.0,,0.56,29.680000000000003
2023-04-26,41,56.0,,0.56,22.96
2023-04-27,35,56.0,,0.56,19.6
2023-04-28,10,56.0,,0.56,5.6000000000000005
2023-04-29,26,56.0,,0.56,14.560000000000002
2023-04-30,29,57.0,False,0.57,16.529999999999998
2023-05-01,56,57.0,,0.57,31.919999999999998
2023-05-02,66,57.0,,0.57,37.62
2023-05-03,65,57.0,,0.57,37.05
2023-05-04,79,57.0,,0.57,45.029999999999994
2023-05-05,33,57.0,,0.57,18.81
2023-05-06,56,57.0,,0.57,31.919999999999998
2023-05-07,78,68.0,False,0.68,53.040000000000006
2023-05-08,59,68.0,,0.68,40.120000000000005
2023-05-09,71,68.0,,0.68,48.28
2023-05-10,100,68.0,,0.68,68.0
2023-05-11,77,68.0,,0.68,52.36000000000001
2023-05-12,31,68.0,,0.68,21.080000000000002
2023-05-13,60,68.0,,0.68,40.800000000000004
2023-05-14,43,59.0,False,0.59,25.369999999999997
2023-05-15,66,59.0,,0.59,38.94
2023-05-16,49,59.0,,0.59,28.91
2023-05-17,27,59.0,,0.59,15.93
2023-05-18,53,59.0,,0.59,31.27
2023-05-19,72,59.0,,0.59,42.48
2023-05-20,69,59.0,,0.59,40.71
2023-05-21,68,65.0,False,0.65,44.2
2023-05-22,47,65.0,,0.65,30.55
2023-05-23,50,65.0,,0.65,32.5
2023-05-24,52,65.0,,0.65,33.800000000000004
2023-05-25,81,65.0,,0.65,52.65
2023-05-26,23,65.0,,0.65,14.950000000000001
2023-05-27,61,65.0,,0.65,39.65
2023-05-28,75,59.0,False,0.59,44.25
2023-05-29,60,59.0,,0.59,35.4
2023-05-30,48,59.0,,0.59,28.32
2023-05-31,72,59.0,,0.59,42.48
2023-06-01,25,59.0,,0.59,14.75
2023-06-02,38,59.0,,0.59,22.419999999999998
2023-06-03,13,59.0,,0.59,7.67
2023-06-04,28,53.0,False,0.53,14.84
2023-06-05,42,53.0,,0.53,22.26
2023-06-06,27,53.0,,0.53,14.31
2023-06-07,31,53.0,,0.53,16.43
2023-06-08,47,53.0,,0.53,24.91
2023-06-09,100,53.0,,0.53,53.0
2023-06-10,35,53.0,,0.53,18.55
2023-06-11,57,51.0,False,0.51,29.07
2023-06-12,38,51.0,,0.51,19.38
2023-06-13,22,51.0,,0.51,11.22
2023-06-14,47,51.0,,0.51,23.97
2023-06-15,62,51.0,,0.51,31.62
2023-06-16,50,51.0,,0.51,25.5
2023-06-17,13,51.0,,0.51,6.63
2023-06-18,36,60.0,False,0.6,21.599999999999998
2023-06-19,47,60.0,,0.6,28.2
2023-06-20,52,60.0,,0.6,31.2
2023-06-21,44,60.0,,0.6,26.4
2023-06-22,52,60.0,,0.6,31.2
2023-06-23,72,60.0,,0.6,43.199999999999996
2023-06-24,35,60.0,,0.6,21.0
2023-06-25,55,63.0,False,0.63,34.65
2023-06-26,41,63.0,,0.63,25.830000000000002
2023-06-27,47,63.0,,0.63,29.61
2023-06-28,39,63.0,,0.63,24.57
2023-06-29,66,63.0,,0.63,41.58
2023-06-30,59,63.0,,0.63,37.17
2023-07-01,72,63.0,,0.63,45.36
2023-07-02,18,62.0,False,0.62,11.16
2023-07-03,56,62.0,,0.62,34.72
2023-07-04,22,62.0,,0.62,13.64
2023-07-05,59,62.0,,0.62,36.58
2023-07-06,54,62.0,,0.62,33.48
2023-07-07,69,62.0,,0.62,42.78
2023-07-08,36,62.0,,0.62,22.32
2023-07-09,90,75.0,False,0.75,67.5
2023-07-10,37,75.0,,0.75,27.75
2023-07-11,72,75.0,,0.75,54.0
2023-07-12,57,75.0,,0.75,42.75
2023-07-13,59,75.0,,0.75,44.25
2023-07-14,64,75.0,,0.75,48.0
2023-07-15,69,75.0,,0.75,51.75
2023-07-16,100,75.0,False,0.75,75.0
2023-07-17,54,75.0,,0.75,40.5
2023-07-18,71,75.0,,0.75,53.25
2023-07-19,60,75.0,,0.75,45.0
2023-07-20,75,75.0,,0.75,56.25
2023-07-21,95,75.0,,0.75,71.25
2023-07-22,34,75.0,,0.75,25.5
2023-07-23,92,87.0,False,0.87,80.04
2023-07-24,78,87.0,,0.87,67.86
2023-07-25,55,87.0,,0.87,47.85
2023-07-26,97,87.0,,0.87,84.39
2023-07-27,81,87.0,,0.87,70.47
2023-07-28,58,87.0,,0.87,50.46
2023-07-29,53,87.0,,0.87,46.11
2023-07-30,74,75.0,False,0.75,55.5
2023-07-31,81,75.0,,0.75,60.75
2023-08-01,46,75.0,,0.75,34.5
2023-08-02,47,75.0,,0.75,35.25
2023-08-03,45,75.0,,0.75,33.75
2023-08-04,44,75.0,,0.75,33.0
2023-08-05,16,75.0,,0.75,12.0
2023-08-06,50,81.0,False,0.81,40.5
2023-08-07,74,81.0,,0.81,59.940000000000005
2023-08-08,62,81.0,,0.81,50.220000000000006
2023-08-09,68,81.0,,0.81,55.080000000000005
2023-08-10,61,81.0,,0.81,49.410000000000004
2023-08-11,85,81.0,,0.81,68.85000000000001
2023-08-12,48,81.0,,0.81,38.88
2023-08-13,54,70.0,False,0.7,37.8
2023-08-14,43,70.0,,0.7,30.099999999999998
2023-08-15,38,70.0,,0.7,26.599999999999998
2023-08-16,38,70.0,,0.7,26.599999999999998
2023-08-17,84,70.0,,0.7,58.8
2023-08-18,71,70.0,,0.7,49.699999999999996
2023-08-19,43,70.0,,0.7,30.099999999999998
2023-08-20,100,69.0,False,0.69,69.0
