date,/m/0vpj4_b_unscaled,/m/0vpj4_b_monthly,isPartial,scale,/m/0vpj4_b
2023-11-26,57,26.0,False,0.26,14.82
2023-11-27,61,26.0,,0.26,15.860000000000001
2023-11-28,57,26.0,,0.26,14.82
2023-11-29,62,26.0,,0.26,16.12
2023-11-30,56,26.0,,0.26,14.56
2023-12-01,69,26.0,,0.26,17.94
2023-12-02,76,26.0,,0.26,19.76
2023-12-03,65,32.0,False,0.32,20.8
2023-12-04,87,32.0,,0.32,27.84
2023-12-05,86,32.0,,0.32,27.52
2023-12-06,100,32.0,,0.32,32.0
2023-12-07,90,32.0,,0.32,28.8
2023-12-08,91,32.0,,0.32,29.12
2023-12-09,93,32.0,,0.32,29.76
2023-12-10,79,37.0,False,0.37,29.23
2023-12-11,81,37.0,,0.37,29.97
2023-12-12,81,37.0,,0.37,29.97
2023-12-13,85,37.0,,0.37,31.45
2023-12-14,85,37.0,,0.37,31.45
2023-12-15,98,37.0,,0.37,36.26
2023-12-16,88,37.0,,0.37,32.56
2023-12-17,79,33.0,False,0.33,26.07
2023-12-18,74,33.0,,0.33,24.42
2023-12-19,83,33.0,,0.33,27.39
2023-12-20,87,33.0,,0.33,28.71
2023-12-21,95,33.0,,0.33,31.35
2023-12-22,87,33.0,,0.33,28.71
2023-12-23,87,33.0,,0.33,28.71
2023-12-24,96,34.0,False,0.34,32.64
2023-12-25,86,34.0,,0.34,29.240000000000002
2023-12-26,94,34.0,,0.34,31.96
2023-12-27,90,34.0,,0.34,30.6
2023-12-28,91,34.0,,0.34,30.94
2023-12-29,87,34.0,,0.34,29.580000000000002
2023-12-30,79,34.0,,0.34,26.860000000000003
2023-12-31,78,37.0,False,0.37,28.86
2024-01-01,75,37.0,,0.37,27.75
2024-01-02,84,37.0,,0.37,31.08
2024-01-03,94,37.0,,0.37,34.78
2024-01-04,90,37.0,,0.37,33.3
2024-01-05,82,37.0,,0.37,30.34
2024-01-06,82,37.0,,0.37,30.34
2024-01-07,72,37.0,False,0.37,26.64
2024-01-08,79,37.0,,0.37,29.23
2024-01-09,79,37.0,,0.37,29.23
2024-01-10,98,37.0,,0.37,36.26
2024-01-11,100,37.0,,0.37,37.0
2024-01-12,85,37.0,,0.37,31.45
2024-01-13,76,37.0,,0.37,28.12
2024-01-14,72,30.0,False,0.3,21.599999999999998
2024-01-15,81,30.0,,0.3,24.3
2024-01-16,70,30.0,,0.3,21.0
2024-01-17,75,30.0,,0.3,22.5
2024-01-18,74,30.0,,0.3,22.2
2024-01-19,70,30.0,,0.3,21.0
2024-01-20,69,30.0,,0.3,20.7
2024-01-21,63,27.0,False,0.27,17.01
2024-01-22,71,27.0,,0.27,19.17
2024-01-23,77,27.0,,0.27,20.790000000000003
2024-01-24,74,27.0,,0.27,19.98
2024-01-25,69,27.0,,0.27,18.630000000000003
2024-01-26,67,27.0,,0.27,18.09
2024-01-27,65,27.0,,0.27,17.55
2024-01-28,62,27.0,True,0.27,16.740000000000002
2024-01-29,67,27.0,,0.27,18.09
2024-01-30,70,27.0,,0.27,18.900000000000002
2024-01-31,71,27.0,,0.27,19.17
