date,Altcoin_unscaled,Altcoin_monthly,isPartial,scale,Altcoin
2023-08-26,58,19.0,,0.19,11.02
2023-08-27,0,28.0,False,0.28,0.0
2023-08-28,0,28.0,,0.28,0.0
2023-08-29,50,28.0,,0.28,14.000000000000002
2023-08-30,0,28.0,,0.28,0.0
2023-08-31,31,28.0,,0.28,8.680000000000001
2023-09-01,0,28.0,,0.28,0.0
2023-09-02,33,28.0,,0.28,9.24
2023-09-03,72,25.0,False,0.25,18.0
2023-09-04,0,25.0,,0.25,0.0
2023-09-05,0,25.0,,0.25,0.0
2023-09-06,0,25.0,,0.25,0.0
2023-09-07,30,25.0,,0.25,7.5
2023-09-08,0,25.0,,0.25,0.0
2023-09-09,0,25.0,,0.25,0.0
2023-09-10,0,35.0,False,0.35,0.0
2023-09-11,0,35.0,,0.35,0.0
2023-09-12,62,35.0,,0.35,21.7
2023-09-13,21,35.0,,0.35,7.35
2023-09-14,47,35.0,,0.35,16.45
2023-09-15,54,35.0,,0.35,18.9
2023-09-16,36,35.0,,0.35,12.6
2023-09-17,46,19.0,False,0.19,8.74
2023-09-18,23,19.0,,0.19,4.37
2023-09-19,0,19.0,,0.19,0.0
2023-09-20,0,19.0,,0.19,0.0
2023-09-21,41,19.0,,0.19,7.79
2023-09-22,0,19.0,,0.19,0.0
2023-09-23,0,19.0,,0.19,0.0
2023-09-24,0,19.0,False,0.19,0.0
2023-09-25,100,19.0,,0.19,19.0
2023-09-26,0,19.0,,0.19,0.0
2023-09-27,34,19.0,,0.19,6.46
2023-09-28,75,19.0,,0.19,14.25
2023-09-29,47,19.0,,0.19,8.93
2023-09-30,0,19.0,,0.19,0.0
2023-10-01,0,21.0,False,0.21,0.0
2023-10-02,17,21.0,,0.21,3.57
2023-10-03,25,21.0,,0.21,5.25
2023-10-04,14,21.0,,0.21,2.94
2023-10-05,0,21.0,,0.21,0.0
2023-10-06,0,21.0,,0.21,0.0
2023-10-07,33,21.0,,0.21,6.93
2023-10-08,0,6.0,False,0.06,0.0
2023-10-09,39,6.0,,0.06,2.34
2023-10-10,0,6.0,,0.06,0.0
2023-10-11,33,6.0,,0.06,1.98
2023-10-12,0,6.0,,0.06,0.0
2023-10-13,20,6.0,,0.06,1.2
2023-10-14,47,6.0,,0.06,2.82
2023-10-15,0,16.0,False,0.16,0.0
2023-10-16,56,16.0,,0.16,8.96
2023-10-17,0,16.0,,0.16,0.0
2023-10-18,100,16.0,,0.16,16.0
2023-10-19,20,16.0,,0.16,3.2
2023-10-20,24,16.0,,0.16,3.84
2023-10-21,46,16.0,,0.16,7.36
2023-10-22,21,22.0,False,0.22,4.62
2023-10-23,0,22.0,,0.22,0.0
2023-10-24,32,22.0,,0.22,7.04
2023-10-25,39,22.0,,0.22,8.58
2023-10-26,20,22.0,,0.22,4.4
2023-10-27,0,22.0,,0.22,0.0
2023-10-28,0,22.0,,0.22,0.0
2023-10-29,81,34.0,False,0.34,27.540000000000003
2023-10-30,0,34.0,,0.34,0.0
2023-10-31,44,34.0,,0.34,14.96
2023-11-01,0,34.0,,0.34,0.0
2023-11-02,22,34.0,,0.34,7.48
2023-11-03,18,34.0,,0.34,6.12
2023-11-04,0,34.0,,0.34,0.0
2023-11-05,57,35.0,False,0.35,19.95
2023-11-06,20,35.0,,0.35,7.0
2023-11-07,15,35.0,,0.35,5.25
2023-11-08,22,35.0,,0.35,7.699999999999999
2023-11-09,40,35.0,,0.35,14.0
2023-11-10,54,35.0,,0.35,18.9
2023-11-11,45,35.0,,0.35,15.749999999999998
2023-11-12,0,36.0,False,0.36,0.0
2023-11-13,41,36.0,,0.36,14.76
2023-11-14,0,36.0,,0.36,0.0
2023-11-15,0,36.0,,0.36,0.0
2023-11-16,57,36.0,,0.36,20.52
2023-11-17,0,36.0,,0.36,0.0
2023-11-18,30,36.0,,0.36,10.799999999999999
2023-11-19,0,40.0,False,0.4,0.0
2023-11-20,19,40.0,,0.4,7.6000000000000005
2023-11-21,93,40.0,,0.4,37.2
2023-11-22,25,40.0,,0.4,10.0
2023-11-23,100,40.0,,0.4,40.0
2023-11-24,24,40.0,,0.4,9.600000000000001
2023-11-25,0,40.0,,0.4,0.0
2023-11-26,43,37.0,False,0.37,15.91
2023-11-27,25,37.0,,0.37,9.25
2023-11-28,0,37.0,,0.37,0.0
2023-11-29,76,37.0,,0.37,28.12
2023-11-30,34,37.0,,0.37,12.58
2023-12-01,30,37.0,,0.37,11.1
2023-12-02,51,37.0,,0.37,18.87
2023-12-03,37,48.0,False,0.48,17.759999999999998
2023-12-04,37,48.0,,0.48,17.759999999999998
2023-12-05,57,48.0,,0.48,27.36
2023-12-06,40,48.0,,0.48,19.2
2023-12-07,60,48.0,,0.48,28.799999999999997
2023-12-08,43,48.0,,0.48,20.64
2023-12-09,76,48.0,,0.48,36.48
2023-12-10,41,46.0,False,0.46,18.86
2023-12-11,55,46.0,,0.46,25.3
2023-12-12,46,46.0,,0.46,21.16
2023-12-13,44,46.0,,0.46,20.240000000000002
2023-12-14,41,46.0,,0.46,18.86
2023-12-15,55,46.0,,0.46,25.3
2023-12-16,0,46.0,,0.46,0.0
2023-12-17,0,44.0,False,0.44,0.0
2023-12-18,0,44.0,,0.44,0.0
2023-12-19,36,44.0,,0.44,15.84
2023-12-20,73,44.0,,0.44,32.12
2023-12-21,36,44.0,,0.44,15.84
2023-12-22,0,44.0,,0.44,0.0
2023-12-23,0,44.0,,0.44,0.0
2023-12-24,47,54.0,False,0.54,25.380000000000003
2023-12-25,38,54.0,,0.54,20.520000000000003
2023-12-26,61,54.0,,0.54,32.940000000000005
2023-12-27,55,54.0,,0.54,29.700000000000003
2023-12-28,100,54.0,,0.54,54.0
2023-12-29,57,54.0,,0.54,30.78
2023-12-30,34,54.0,,0.54,18.36
2023-12-31,65,44.0,False,0.44,28.6
2024-01-01,45,44.0,,0.44,19.8
2024-01-02,0,44.0,,0.44,0.0
2024-01-03,0,44.0,,0.44,0.0
2024-01-04,46,44.0,,0.44,20.24
2024-01-05,57,44.0,,0.44,25.080000000000002
2024-01-06,51,44.0,,0.44,22.44
2024-01-07,0,54.0,False,0.54,0.0
2024-01-08,50,54.0,,0.54,27.0
2024-01-09,55,54.0,,0.54,29.700000000000003
2024-01-10,50,54.0,,0.54,27.0
2024-01-11,83,54.0,,0.54,44.82
2024-01-12,0,54.0,,0.54,0.0
2024-01-13,23,54.0,,0.54,12.420000000000002
2024-01-14,81,44.0,False,0.44,35.64
2024-01-15,37,44.0,,0.44,16.28
2024-01-16,0,44.0,,0.44,0.0
2024-01-17,21,44.0,,0.44,9.24
2024-01-18,86,44.0,,0.44,37.84
2024-01-19,40,44.0,,0.44,17.6
2024-01-20,56,44.0,,0.44,24.64
2024-01-21,100,41.0,False,0.41,41.0
2024-01-22,18,41.0,,0.41,7.38
2024-01-23,49,41.0,,0.41,20.09
2024-01-24,0,41.0,,0.41,0.0
2024-01-25,23,41.0,,0.41,9.43
2024-01-26,20,41.0,,0.41,8.2
2024-01-27,0,41.0,,0.41,0.0
2024-01-28,94,42.0,True,0.42,39.48
2024-01-29,59,42.0,,0.42,24.779999999999998
2024-01-30,19,42.0,,0.42,7.9799999999999995
2024-01-31,22,42.0,,0.42,9.24
