date,/m/0r8lyw7_unscaled,/m/0r8lyw7_monthly,isPartial,scale,/m/0r8lyw7
2023-12-27,83,10.0,,0.1,8.3
2023-12-28,100,10.0,,0.1,10.0
2023-12-29,42,10.0,,0.1,4.2
2023-12-30,60,10.0,,0.1,6.0
2023-12-31,25,7.0,False,0.07,1.7500000000000002
2024-01-01,28,7.0,,0.07,1.9600000000000002
2024-01-02,26,7.0,,0.07,1.8200000000000003
2024-01-03,40,7.0,,0.07,2.8000000000000003
2024-01-04,43,7.0,,0.07,3.0100000000000002
2024-01-05,46,7.0,,0.07,3.22
2024-01-06,62,7.0,,0.07,4.340000000000001
2024-01-07,28,7.0,False,0.07,1.9600000000000002
2024-01-08,41,7.0,,0.07,2.87
2024-01-09,31,7.0,,0.07,2.1700000000000004
2024-01-10,38,7.0,,0.07,2.66
2024-01-11,61,7.0,,0.07,4.2700000000000005
2024-01-12,58,7.0,,0.07,4.0600000000000005
2024-01-13,40,7.0,,0.07,2.8000000000000003
2024-01-14,21,10.0,False,0.1,2.1
2024-01-15,12,10.0,,0.1,1.2000000000000002
2024-01-16,70,10.0,,0.1,7.0
2024-01-17,56,10.0,,0.1,5.6000000000000005
2024-01-18,100,10.0,,0.1,10.0
2024-01-19,80,10.0,,0.1,8.0
2024-01-20,48,10.0,,0.1,4.800000000000001
2024-01-21,45,8.0,False,0.08,3.6
2024-01-22,30,8.0,,0.08,2.4
2024-01-23,52,8.0,,0.08,4.16
2024-01-24,71,8.0,,0.08,5.68
2024-01-25,78,8.0,,0.08,6.24
2024-01-26,49,8.0,,0.08,3.92
2024-01-27,40,8.0,,0.08,3.2
2024-01-28,49,6.0,True,0.06,2.94
2024-01-29,42,6.0,,0.06,2.52
2024-01-30,19,6.0,,0.06,1.14
2024-01-31,56,6.0,,0.06,3.36
