date,Bitcoin Price_unscaled,Bitcoin Price_monthly,isPartial,scale,Bitcoin Price
2023-11-24,81,23.0,,0.23,18.630000000000003
2023-11-25,76,23.0,,0.23,17.48
2023-11-26,71,22.0,False,0.22,15.62
2023-11-27,78,22.0,,0.22,17.16
2023-11-28,78,22.0,,0.22,17.16
2023-11-29,79,22.0,,0.22,17.38
2023-11-30,78,22.0,,0.22,17.16
2023-12-01,46,22.0,,0.22,10.12
2023-12-02,49,22.0,,0.22,10.78
2023-12-03,50,38.0,False,0.38,19.0
2023-12-04,100,38.0,,0.38,38.0
2023-12-05,95,38.0,,0.38,36.1
2023-12-06,97,38.0,,0.38,36.86
2023-12-07,64,38.0,,0.38,24.32
2023-12-08,65,38.0,,0.38,24.7
2023-12-09,55,38.0,,0.38,20.9
2023-12-10,49,30.0,False,0.3,14.7
2023-12-11,70,30.0,,0.3,21.0
2023-12-12,56,30.0,,0.3,16.8
2023-12-13,55,30.0,,0.3,16.5
2023-12-14,55,30.0,,0.3,16.5
2023-12-15,53,30.0,,0.3,15.899999999999999
2023-12-16,45,30.0,,0.3,13.5
2023-12-17,44,28.0,False,0.28,12.32
2023-12-18,48,28.0,,0.28,13.440000000000001
2023-12-19,54,28.0,,0.28,15.120000000000001
2023-12-20,58,28.0,,0.28,16.240000000000002
2023-12-21,58,28.0,,0.28,16.240000000000002
2023-12-22,57,28.0,,0.28,15.96
2023-12-23,48,28.0,,0.28,13.440000000000001
2023-12-24,50,26.0,False,0.26,13.0
2023-12-25,47,26.0,,0.26,12.22
2023-12-26,58,26.0,,0.26,15.08
2023-12-27,55,26.0,,0.26,14.3
2023-12-28,50,26.0,,0.26,13.0
2023-12-29,51,26.0,,0.26,13.26
2023-12-30,43,26.0,,0.26,11.18
2023-12-31,43,33.0,False,0.33,14.190000000000001
2024-01-01,34,33.0,,0.33,11.22
2024-01-02,55,33.0,,0.33,18.150000000000002
2024-01-03,53,33.0,,0.33,17.490000000000002
2024-01-04,46,33.0,,0.33,15.180000000000001
2024-01-05,41,33.0,,0.33,13.530000000000001
2024-01-06,35,33.0,,0.33,11.55
2024-01-07,33,48.0,False,0.48,15.84
2024-01-08,47,48.0,,0.48,22.56
2024-01-09,65,48.0,,0.48,31.2
2024-01-10,90,48.0,,0.48,43.199999999999996
2024-01-11,100,48.0,,0.48,48.0
2024-01-12,70,48.0,,0.48,33.6
2024-01-13,49,48.0,,0.48,23.52
2024-01-14,40,29.0,False,0.29,11.6
2024-01-15,44,29.0,,0.29,12.76
2024-01-16,42,29.0,,0.29,12.18
2024-01-17,41,29.0,,0.29,11.889999999999999
2024-01-18,37,29.0,,0.29,10.729999999999999
2024-01-19,36,29.0,,0.29,10.44
2024-01-20,34,29.0,,0.29,9.86
2024-01-21,29,24.0,False,0.24,6.96
2024-01-22,38,24.0,,0.24,9.12
2024-01-23,39,24.0,,0.24,9.36
2024-01-24,36,24.0,,0.24,8.64
2024-01-25,34,24.0,,0.24,8.16
2024-01-26,32,24.0,,0.24,7.68
2024-01-27,27,24.0,,0.24,6.4799999999999995
2024-01-28,26,19.0,True,0.19,4.94
2024-01-29,30,19.0,,0.19,5.7
2024-01-30,32,19.0,,0.19,6.08
2024-01-31,30,19.0,,0.19,5.7
