date,/g/11f760cfwp_unscaled,/g/11f760cfwp_monthly,isPartial,scale,/g/11f760cfwp
2023-09-23,32,5.0,,0.05,1.6
2023-09-24,58,5.0,False,0.05,2.9000000000000004
2023-09-25,68,5.0,,0.05,3.4000000000000004
2023-09-26,23,5.0,,0.05,1.1500000000000001
2023-09-27,70,5.0,,0.05,3.5
2023-09-28,49,5.0,,0.05,2.45
2023-09-29,70,5.0,,0.05,3.5
2023-09-30,39,5.0,,0.05,1.9500000000000002
2023-10-01,29,5.0,False,0.05,1.4500000000000002
2023-10-02,37,5.0,,0.05,1.85
2023-10-03,46,5.0,,0.05,2.3000000000000003
2023-10-04,29,5.0,,0.05,1.4500000000000002
2023-10-05,100,5.0,,0.05,5.0
2023-10-06,21,5.0,,0.05,1.05
2023-10-07,32,5.0,,0.05,1.6
2023-10-08,15,5.0,False,0.05,0.75
2023-10-09,58,5.0,,0.05,2.9000000000000004
2023-10-10,30,5.0,,0.05,1.5
2023-10-11,82,5.0,,0.05,4.1000000000000005
2023-10-12,37,5.0,,0.05,1.85
2023-10-13,26,5.0,,0.05,1.3
2023-10-14,51,5.0,,0.05,2.5500000000000003
2023-10-15,29,5.0,False,0.05,1.4500000000000002
2023-10-16,38,5.0,,0.05,1.9000000000000001
2023-10-17,52,5.0,,0.05,2.6
2023-10-18,37,5.0,,0.05,1.85
2023-10-19,49,5.0,,0.05,2.45
2023-10-20,61,5.0,,0.05,3.0500000000000003
2023-10-21,0,5.0,,0.05,0.0
2023-10-22,67,5.0,False,0.05,3.35
2023-10-23,38,5.0,,0.05,1.9000000000000001
2023-10-24,39,5.0,,0.05,1.9500000000000002
2023-10-25,49,5.0,,0.05,2.45
2023-10-26,64,5.0,,0.05,3.2
2023-10-27,52,5.0,,0.05,2.6
2023-10-28,25,5.0,,0.05,1.25
2023-10-29,44,5.0,False,0.05,2.2
2023-10-30,29,5.0,,0.05,1.4500000000000002
2023-10-31,30,5.0,,0.05,1.5
2023-11-01,0,5.0,,0.05,0.0
2023-11-02,43,5.0,,0.05,2.15
2023-11-03,38,5.0,,0.05,1.9000000000000001
2023-11-04,20,5.0,,0.05,1.0
2023-11-05,35,9.0,False,0.09,3.15
2023-11-06,38,9.0,,0.09,3.42
2023-11-07,100,9.0,,0.09,9.0
2023-11-08,88,9.0,,0.09,7.92
2023-11-09,52,9.0,,0.09,4.68
2023-11-10,77,9.0,,0.09,6.93
2023-11-11,22,9.0,,0.09,1.98
2023-11-12,27,7.0,False,0.07,1.8900000000000001
2023-11-13,42,7.0,,0.07,2.9400000000000004
2023-11-14,32,7.0,,0.07,2.24
2023-11-15,56,7.0,,0.07,3.9200000000000004
2023-11-16,80,7.0,,0.07,5.6000000000000005
2023-11-17,39,7.0,,0.07,2.7300000000000004
2023-11-18,34,7.0,,0.07,2.3800000000000003
2023-11-19,0,5.0,False,0.05,0.0
2023-11-20,48,5.0,,0.05,2.4000000000000004
2023-11-21,47,5.0,,0.05,2.35
2023-11-22,27,5.0,,0.05,1.35
2023-11-23,53,5.0,,0.05,2.6500000000000004
2023-11-24,35,5.0,,0.05,1.75
2023-11-25,19,5.0,,0.05,0.9500000000000001
2023-11-26,15,7.0,False,0.07,1.05
2023-11-27,30,7.0,,0.07,2.1
2023-11-28,50,7.0,,0.07,3.5000000000000004
2023-11-29,47,7.0,,0.07,3.2900000000000005
2023-11-30,40,7.0,,0.07,2.8000000000000003
2023-12-01,45,7.0,,0.07,3.1500000000000004
2023-12-02,65,7.0,,0.07,4.550000000000001
2023-12-03,16,8.0,False,0.08,1.28
2023-12-04,42,8.0,,0.08,3.36
2023-12-05,40,8.0,,0.08,3.2
2023-12-06,100,8.0,,0.08,8.0
2023-12-07,46,8.0,,0.08,3.68
2023-12-08,59,8.0,,0.08,4.72
2023-12-09,56,8.0,,0.08,4.48
2023-12-10,55,9.0,False,0.09,4.95
2023-12-11,39,9.0,,0.09,3.51
2023-12-12,78,9.0,,0.09,7.02
2023-12-13,40,9.0,,0.09,3.5999999999999996
2023-12-14,41,9.0,,0.09,3.69
2023-12-15,38,9.0,,0.09,3.42
2023-12-16,51,9.0,,0.09,4.59
2023-12-17,42,6.0,False,0.06,2.52
2023-12-18,40,6.0,,0.06,2.4
2023-12-19,30,6.0,,0.06,1.7999999999999998
2023-12-20,0,6.0,,0.06,0.0
2023-12-21,49,6.0,,0.06,2.94
2023-12-22,34,6.0,,0.06,2.04
2023-12-23,39,6.0,,0.06,2.34
2023-12-24,28,6.0,False,0.06,1.68
2023-12-25,13,6.0,,0.06,0.78
2023-12-26,20,6.0,,0.06,1.2
2023-12-27,36,6.0,,0.06,2.16
2023-12-28,32,6.0,,0.06,1.92
2023-12-29,23,6.0,,0.06,1.38
2023-12-30,23,6.0,,0.06,1.38
2023-12-31,14,5.0,False,0.05,0.7000000000000001
2024-01-01,49,5.0,,0.05,2.45
2024-01-02,36,5.0,,0.05,1.8
2024-01-03,69,5.0,,0.05,3.45
2024-01-04,48,5.0,,0.05,2.4000000000000004
2024-01-05,69,5.0,,0.05,3.45
2024-01-06,39,5.0,,0.05,1.9500000000000002
2024-01-07,65,8.0,False,0.08,5.2
2024-01-08,46,8.0,,0.08,3.68
2024-01-09,76,8.0,,0.08,6.08
2024-01-10,100,8.0,,0.08,8.0
2024-01-11,73,8.0,,0.08,5.84
2024-01-12,65,8.0,,0.08,5.2
2024-01-13,76,8.0,,0.08,6.08
2024-01-14,68,8.0,False,0.08,5.44
2024-01-15,65,8.0,,0.08,5.2
2024-01-16,92,8.0,,0.08,7.36
2024-01-17,78,8.0,,0.08,6.24
2024-01-18,91,8.0,,0.08,7.28
2024-01-19,47,8.0,,0.08,3.7600000000000002
2024-01-20,43,8.0,,0.08,3.44
2024-01-21,0,7.0,False,0.07,0.0
2024-01-22,100,7.0,,0.07,7.000000000000001
2024-01-23,78,7.0,,0.07,5.460000000000001
2024-01-24,58,7.0,,0.07,4.0600000000000005
2024-01-25,90,7.0,,0.07,6.300000000000001
2024-01-26,84,7.0,,0.07,5.880000000000001
2024-01-27,55,7.0,,0.07,3.8500000000000005
2024-01-28,0,4.0,True,0.04,0.0
2024-01-29,33,4.0,,0.04,1.32
2024-01-30,40,4.0,,0.04,1.6
2024-01-31,49,4.0,,0.04,1.96
