date,/g/11fsw_ffbn_unscaled,/g/11fsw_ffbn_monthly,isPartial,scale,/g/11fsw_ffbn
2023-09-29,0,8.0,,0.08,0.0
2023-09-30,0,8.0,,0.08,0.0
2023-10-01,0,11.0,False,0.11,0.0
2023-10-02,0,11.0,,0.11,0.0
2023-10-03,31,11.0,,0.11,3.41
2023-10-04,57,11.0,,0.11,6.2700000000000005
2023-10-05,49,11.0,,0.11,5.39
2023-10-06,0,11.0,,0.11,0.0
2023-10-07,0,11.0,,0.11,0.0
2023-10-08,41,10.0,False,0.1,4.1000000000000005
2023-10-09,0,10.0,,0.1,0.0
2023-10-10,0,10.0,,0.1,0.0
2023-10-11,0,10.0,,0.1,0.0
2023-10-12,0,10.0,,0.1,0.0
2023-10-13,0,10.0,,0.1,0.0
2023-10-14,0,10.0,,0.1,0.0
2023-10-15,0,18.0,False,0.18,0.0
2023-10-16,39,18.0,,0.18,7.02
2023-10-17,0,18.0,,0.18,0.0
2023-10-18,68,18.0,,0.18,12.24
2023-10-19,33,18.0,,0.18,5.9399999999999995
2023-10-20,0,18.0,,0.18,0.0
2023-10-21,0,18.0,,0.18,0.0
2023-10-22,0,17.0,False,0.17,0.0
2023-10-23,0,17.0,,0.17,0.0
2023-10-24,44,17.0,,0.17,7.48
2023-10-25,0,17.0,,0.17,0.0
2023-10-26,0,17.0,,0.17,0.0
2023-10-27,0,17.0,,0.17,0.0
2023-10-28,0,17.0,,0.17,0.0
2023-10-29,100,12.0,False,0.12,12.0
2023-10-30,42,12.0,,0.12,5.04
2023-10-31,0,12.0,,0.12,0.0
2023-11-01,0,12.0,,0.12,0.0
2023-11-02,32,12.0,,0.12,3.84
2023-11-03,0,12.0,,0.12,0.0
2023-11-04,100,12.0,,0.12,12.0
2023-11-05,0,11.0,False,0.11,0.0
2023-11-06,0,11.0,,0.11,0.0
2023-11-07,0,11.0,,0.11,0.0
2023-11-08,0,11.0,,0.11,0.0
2023-11-09,0,11.0,,0.11,0.0
2023-11-10,94,11.0,,0.11,10.34
2023-11-11,89,11.0,,0.11,9.790000000000001
2023-11-12,78,21.0,False,0.21,16.38
2023-11-13,52,21.0,,0.21,10.92
2023-11-14,0,21.0,,0.21,0.0
2023-11-15,30,21.0,,0.21,6.3
2023-11-16,0,21.0,,0.21,0.0
2023-11-17,0,21.0,,0.21,0.0
2023-11-18,0,21.0,,0.21,0.0
2023-11-19,45,30.0,False,0.3,13.5
2023-11-20,0,30.0,,0.3,0.0
2023-11-21,0,30.0,,0.3,0.0
2023-11-22,0,30.0,,0.3,0.0
2023-11-23,0,30.0,,0.3,0.0
2023-11-24,59,30.0,,0.3,17.7
2023-11-25,61,30.0,,0.3,18.3
2023-11-26,0,42.0,False,0.42,0.0
2023-11-27,100,42.0,,0.42,42.0
2023-11-28,51,42.0,,0.42,21.419999999999998
2023-11-29,47,42.0,,0.42,19.74
2023-11-30,61,42.0,,0.42,25.619999999999997
2023-12-01,98,42.0,,0.42,41.16
2023-12-02,90,42.0,,0.42,37.8
2023-12-03,0,40.0,False,0.4,0.0
2023-12-04,52,40.0,,0.4,20.8
2023-12-05,35,40.0,,0.4,14.0
2023-12-06,0,40.0,,0.4,0.0
2023-12-07,47,40.0,,0.4,18.8
2023-12-08,0,40.0,,0.4,0.0
2023-12-09,0,40.0,,0.4,0.0
2023-12-10,93,37.0,False,0.37,34.41
2023-12-11,0,37.0,,0.37,0.0
2023-12-12,0,37.0,,0.37,0.0
2023-12-13,58,37.0,,0.37,21.46
2023-12-14,0,37.0,,0.37,0.0
2023-12-15,0,37.0,,0.37,0.0
2023-12-16,100,37.0,,0.37,37.0
2023-12-17,43,16.0,False,0.16,6.88
2023-12-18,0,16.0,,0.16,0.0
2023-12-19,37,16.0,,0.16,5.92
2023-12-20,81,16.0,,0.16,12.96
2023-12-21,62,16.0,,0.16,9.92
2023-12-22,0,16.0,,0.16,0.0
2023-12-23,0,16.0,,0.16,0.0
2023-12-24,0,14.0,False,0.14,0.0
2023-12-25,0,14.0,,0.14,0.0
2023-12-26,0,14.0,,0.14,0.0
2023-12-27,0,14.0,,0.14,0.0
2023-12-28,0,14.0,,0.14,0.0
2023-12-29,0,14.0,,0.14,0.0
2023-12-30,0,14.0,,0.14,0.0
2023-12-31,0,24.0,False,0.24,0.0
2024-01-01,0,24.0,,0.24,0.0
2024-01-02,69,24.0,,0.24,16.56
2024-01-03,25,24.0,,0.24,6.0
2024-01-04,0,24.0,,0.24,0.0
2024-01-05,29,24.0,,0.24,6.96
2024-01-06,0,24.0,,0.24,0.0
2024-01-07,28,24.0,False,0.24,6.72
2024-01-08,0,24.0,,0.24,0.0
2024-01-09,0,24.0,,0.24,0.0
2024-01-10,24,24.0,,0.24,5.76
2024-01-11,30,24.0,,0.24,7.199999999999999
2024-01-12,0,24.0,,0.24,0.0
2024-01-13,25,24.0,,0.24,6.0
2024-01-14,0,20.0,False,0.2,0.0
2024-01-15,0,20.0,,0.2,0.0
2024-01-16,0,20.0,,0.2,0.0
2024-01-17,100,20.0,,0.2,20.0
2024-01-18,22,20.0,,0.2,4.4
2024-01-19,0,20.0,,0.2,0.0
2024-01-20,27,20.0,,0.2,5.4
2024-01-21,0,20.0,False,0.2,0.0
2024-01-22,25,20.0,,0.2,5.0
2024-01-23,52,20.0,,0.2,10.4
2024-01-24,0,20.0,,0.2,0.0
2024-01-25,31,20.0,,0.2,6.2
2024-01-26,0,20.0,,0.2,0.0
2024-01-27,75,20.0,,0.2,15.0
2024-01-28,0,0.0,True,0.0,0.0
2024-01-29,0,0.0,,0.0,0.0
2024-01-30,0,0.0,,0.0,0.0
2024-01-31,0,0.0,,0.0,0.0
