date,Bitcoin Investment_unscaled,Bitcoin Investment_monthly,isPartial,scale,Bitcoin Investment
2023-09-08,42,28.0,,0.28,11.760000000000002
2023-09-09,26,28.0,,0.28,7.280000000000001
2023-09-10,0,24.0,False,0.24,0.0
2023-09-11,52,24.0,,0.24,12.48
2023-09-12,45,24.0,,0.24,10.799999999999999
2023-09-13,0,24.0,,0.24,0.0
2023-09-14,64,24.0,,0.24,15.36
2023-09-15,66,24.0,,0.24,15.84
2023-09-16,51,24.0,,0.24,12.24
2023-09-17,0,28.0,False,0.28,0.0
2023-09-18,44,28.0,,0.28,12.32
2023-09-19,0,28.0,,0.28,0.0
2023-09-20,0,28.0,,0.28,0.0
2023-09-21,65,28.0,,0.28,18.200000000000003
2023-09-22,50,28.0,,0.28,14.000000000000002
2023-09-23,0,28.0,,0.28,0.0
2023-09-24,0,20.0,False,0.2,0.0
2023-09-25,0,20.0,,0.2,0.0
2023-09-26,91,20.0,,0.2,18.2
2023-09-27,44,20.0,,0.2,8.8
2023-09-28,64,20.0,,0.2,12.8
2023-09-29,38,20.0,,0.2,7.6000000000000005
2023-09-30,0,20.0,,0.2,0.0
2023-10-01,87,25.0,False,0.25,21.75
2023-10-02,33,25.0,,0.25,8.25
2023-10-03,90,25.0,,0.25,22.5
2023-10-04,100,25.0,,0.25,25.0
2023-10-05,38,25.0,,0.25,9.5
2023-10-06,22,25.0,,0.25,5.5
2023-10-07,59,25.0,,0.25,14.75
2023-10-08,0,40.0,False,0.4,0.0
2023-10-09,28,40.0,,0.4,11.200000000000001
2023-10-10,55,40.0,,0.4,22.0
2023-10-11,27,40.0,,0.4,10.8
2023-10-12,0,40.0,,0.4,0.0
2023-10-13,70,40.0,,0.4,28.0
2023-10-14,42,40.0,,0.4,16.8
2023-10-15,34,40.0,False,0.4,13.600000000000001
2023-10-16,56,40.0,,0.4,22.400000000000002
2023-10-17,42,40.0,,0.4,16.8
2023-10-18,54,40.0,,0.4,21.6
2023-10-19,63,40.0,,0.4,25.200000000000003
2023-10-20,79,40.0,,0.4,31.6
2023-10-21,47,40.0,,0.4,18.8
2023-10-22,56,34.0,False,0.34,19.040000000000003
2023-10-23,62,34.0,,0.34,21.080000000000002
2023-10-24,35,34.0,,0.34,11.9
2023-10-25,75,34.0,,0.34,25.500000000000004
2023-10-26,23,34.0,,0.34,7.82
2023-10-27,24,34.0,,0.34,8.16
2023-10-28,36,34.0,,0.34,12.24
2023-10-29,47,47.0,False,0.47,22.09
2023-10-30,43,47.0,,0.47,20.209999999999997
2023-10-31,88,47.0,,0.47,41.36
2023-11-01,54,47.0,,0.47,25.38
2023-11-02,68,47.0,,0.47,31.959999999999997
2023-11-03,42,47.0,,0.47,19.74
2023-11-04,62,47.0,,0.47,29.139999999999997
2023-11-05,44,33.0,False,0.33,14.520000000000001
2023-11-06,37,33.0,,0.33,12.21
2023-11-07,60,33.0,,0.33,19.8
2023-11-08,62,33.0,,0.33,20.46
2023-11-09,23,33.0,,0.33,7.590000000000001
2023-11-10,30,33.0,,0.33,9.9
2023-11-11,54,33.0,,0.33,17.82
2023-11-12,49,35.0,False,0.35,17.15
2023-11-13,77,35.0,,0.35,26.95
2023-11-14,30,35.0,,0.35,10.5
2023-11-15,24,35.0,,0.35,8.399999999999999
2023-11-16,67,35.0,,0.35,23.45
2023-11-17,100,35.0,,0.35,35.0
2023-11-18,53,35.0,,0.35,18.549999999999997
2023-11-19,0,38.0,False,0.38,0.0
2023-11-20,68,38.0,,0.38,25.84
2023-11-21,0,38.0,,0.38,0.0
2023-11-22,0,38.0,,0.38,0.0
2023-11-23,0,38.0,,0.38,0.0
2023-11-24,33,38.0,,0.38,12.540000000000001
2023-11-25,57,38.0,,0.38,21.66
2023-11-26,57,47.0,False,0.47,26.79
2023-11-27,39,47.0,,0.47,18.33
2023-11-28,90,47.0,,0.47,42.3
2023-11-29,24,47.0,,0.47,11.28
2023-11-30,22,47.0,,0.47,10.34
2023-12-01,31,47.0,,0.47,14.569999999999999
2023-12-02,39,47.0,,0.47,18.33
2023-12-03,31,68.0,False,0.68,21.080000000000002
2023-12-04,45,68.0,,0.68,30.6
2023-12-05,43,68.0,,0.68,29.240000000000002
2023-12-06,78,68.0,,0.68,53.040000000000006
2023-12-07,23,68.0,,0.68,15.64
2023-12-08,70,68.0,,0.68,47.6
2023-12-09,21,68.0,,0.68,14.280000000000001
2023-12-10,19,41.0,False,0.41,7.789999999999999
2023-12-11,29,41.0,,0.41,11.889999999999999
2023-12-12,24,41.0,,0.41,9.84
2023-12-13,0,41.0,,0.41,0.0
2023-12-14,24,41.0,,0.41,9.84
2023-12-15,32,41.0,,0.41,13.12
2023-12-16,30,41.0,,0.41,12.299999999999999
2023-12-17,12,37.0,False,0.37,4.4399999999999995
2023-12-18,15,37.0,,0.37,5.55
2023-12-19,0,37.0,,0.37,0.0
2023-12-20,18,37.0,,0.37,6.66
2023-12-21,40,37.0,,0.37,14.8
2023-12-22,28,37.0,,0.37,10.36
2023-12-23,31,37.0,,0.37,11.47
2023-12-24,0,50.0,False,0.5,0.0
2023-12-25,44,50.0,,0.5,22.0
2023-12-26,27,50.0,,0.5,13.5
2023-12-27,100,50.0,,0.5,50.0
2023-12-28,28,50.0,,0.5,14.0
2023-12-29,50,50.0,,0.5,25.0
2023-12-30,35,50.0,,0.5,17.5
2023-12-31,14,69.0,False,0.69,9.66
2024-01-01,40,69.0,,0.69,27.599999999999998
2024-01-02,53,69.0,,0.69,36.57
2024-01-03,21,69.0,,0.69,14.489999999999998
2024-01-04,100,69.0,,0.69,69.0
2024-01-05,30,69.0,,0.69,20.7
2024-01-06,42,69.0,,0.69,28.979999999999997
2024-01-07,51,80.0,False,0.8,40.800000000000004
2024-01-08,41,80.0,,0.8,32.800000000000004
2024-01-09,44,80.0,,0.8,35.2
2024-01-10,40,80.0,,0.8,32.0
2024-01-11,89,80.0,,0.8,71.2
2024-01-12,72,80.0,,0.8,57.6
2024-01-13,31,80.0,,0.8,24.8
2024-01-14,0,39.0,False,0.39,0.0
2024-01-15,22,39.0,,0.39,8.58
2024-01-16,35,39.0,,0.39,13.65
2024-01-17,0,39.0,,0.39,0.0
2024-01-18,31,39.0,,0.39,12.09
2024-01-19,26,39.0,,0.39,10.14
2024-01-20,15,39.0,,0.39,5.8500000000000005
2024-01-21,0,30.0,False,0.3,0.0
2024-01-22,15,30.0,,0.3,4.5
2024-01-23,17,30.0,,0.3,5.1
2024-01-24,0,30.0,,0.3,0.0
2024-01-25,11,30.0,,0.3,3.3
2024-01-26,35,30.0,,0.3,10.5
2024-01-27,11,30.0,,0.3,3.3
2024-01-28,28,33.0,True,0.33,9.24
2024-01-29,22,33.0,,0.33,7.260000000000001
2024-01-30,15,33.0,,0.33,4.95
2024-01-31,31,33.0,,0.33,10.23
