date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2023-08-26,45,23.0,,0.23,10.35
2023-08-27,46,23.0,False,0.23,10.58
2023-08-28,49,23.0,,0.23,11.270000000000001
2023-08-29,78,23.0,,0.23,17.94
2023-08-30,61,23.0,,0.23,14.030000000000001
2023-08-31,54,23.0,,0.23,12.42
2023-09-01,98,23.0,,0.23,22.540000000000003
2023-09-02,74,23.0,,0.23,17.02
2023-09-03,79,19.0,False,0.19,15.01
2023-09-04,78,19.0,,0.19,14.82
2023-09-05,91,19.0,,0.19,17.29
2023-09-06,88,19.0,,0.19,16.72
2023-09-07,89,19.0,,0.19,16.91
2023-09-08,81,19.0,,0.19,15.39
2023-09-09,63,19.0,,0.19,11.97
2023-09-10,68,19.0,False,0.19,12.92
2023-09-11,85,19.0,,0.19,16.15
2023-09-12,100,19.0,,0.19,19.0
2023-09-13,77,19.0,,0.19,14.63
2023-09-14,86,19.0,,0.19,16.34
2023-09-15,84,19.0,,0.19,15.96
2023-09-16,71,19.0,,0.19,13.49
2023-09-17,72,18.0,False,0.18,12.959999999999999
2023-09-18,89,18.0,,0.18,16.02
2023-09-19,93,18.0,,0.18,16.74
2023-09-20,88,18.0,,0.18,15.84
2023-09-21,82,18.0,,0.18,14.76
2023-09-22,75,18.0,,0.18,13.5
2023-09-23,65,18.0,,0.18,11.7
2023-09-24,69,18.0,False,0.18,12.42
2023-09-25,75,18.0,,0.18,13.5
2023-09-26,78,18.0,,0.18,14.04
2023-09-27,81,18.0,,0.18,14.58
2023-09-28,87,18.0,,0.18,15.66
2023-09-29,83,18.0,,0.18,14.94
2023-09-30,71,18.0,,0.18,12.78
2023-10-01,25,19.0,False,0.19,4.75
2023-10-02,38,19.0,,0.19,7.22
2023-10-03,33,19.0,,0.19,6.2700000000000005
2023-10-04,29,19.0,,0.19,5.51
2023-10-05,29,19.0,,0.19,5.51
2023-10-06,26,19.0,,0.19,4.94
2023-10-07,28,19.0,,0.19,5.32
2023-10-08,24,20.0,False,0.2,4.800000000000001
2023-10-09,30,20.0,,0.2,6.0
2023-10-10,28,20.0,,0.2,5.6000000000000005
2023-10-11,28,20.0,,0.2,5.6000000000000005
2023-10-12,30,20.0,,0.2,6.0
2023-10-13,32,20.0,,0.2,6.4
2023-10-14,26,20.0,,0.2,5.2
2023-10-15,25,27.0,False,0.27,6.75
2023-10-16,44,27.0,,0.27,11.88
2023-10-17,39,27.0,,0.27,10.530000000000001
2023-10-18,35,27.0,,0.27,9.450000000000001
2023-10-19,31,27.0,,0.27,8.370000000000001
2023-10-20,47,27.0,,0.27,12.690000000000001
2023-10-21,37,27.0,,0.27,9.99
2023-10-22,37,39.0,False,0.39,14.43
2023-10-23,67,39.0,,0.39,26.130000000000003
2023-10-24,100,39.0,,0.39,39.0
2023-10-25,72,39.0,,0.39,28.080000000000002
2023-10-26,59,39.0,,0.39,23.01
2023-10-27,49,39.0,,0.39,19.11
2023-10-28,36,39.0,,0.39,14.040000000000001
2023-10-29,38,28.0,False,0.28,10.64
2023-10-30,46,28.0,,0.28,12.88
2023-10-31,44,28.0,,0.28,12.32
2023-11-01,60,28.0,,0.28,16.8
2023-11-02,75,28.0,,0.28,21.000000000000004
2023-11-03,69,28.0,,0.28,19.32
2023-11-04,49,28.0,,0.28,13.72
2023-11-05,52,32.0,False,0.32,16.64
2023-11-06,59,32.0,,0.32,18.88
2023-11-07,68,32.0,,0.32,21.76
2023-11-08,62,32.0,,0.32,19.84
2023-11-09,100,32.0,,0.32,32.0
2023-11-10,86,32.0,,0.32,27.52
2023-11-11,62,32.0,,0.32,19.84
2023-11-12,56,31.0,False,0.31,17.36
2023-11-13,63,31.0,,0.31,19.53
2023-11-14,72,31.0,,0.31,22.32
2023-11-15,78,31.0,,0.31,24.18
2023-11-16,74,31.0,,0.31,22.94
2023-11-17,66,31.0,,0.31,20.46
2023-11-18,49,31.0,,0.31,15.19
2023-11-19,52,29.0,False,0.29,15.079999999999998
2023-11-20,69,29.0,,0.29,20.009999999999998
2023-11-21,69,29.0,,0.29,20.009999999999998
2023-11-22,69,29.0,,0.29,20.009999999999998
2023-11-23,55,29.0,,0.29,15.95
2023-11-24,64,29.0,,0.29,18.56
2023-11-25,57,29.0,,0.29,16.529999999999998
2023-11-26,58,30.0,False,0.3,17.4
2023-11-27,60,30.0,,0.3,18.0
2023-11-28,66,30.0,,0.3,19.8
2023-11-29,64,30.0,,0.3,19.2
2023-11-30,53,30.0,,0.3,15.899999999999999
2023-12-01,47,30.0,,0.3,14.1
2023-12-02,51,30.0,,0.3,15.299999999999999
2023-12-03,59,54.0,False,0.54,31.860000000000003
2023-12-04,100,54.0,,0.54,54.0
2023-12-05,94,54.0,,0.54,50.760000000000005
2023-12-06,92,54.0,,0.54,49.68000000000001
2023-12-07,79,54.0,,0.54,42.660000000000004
2023-12-08,69,54.0,,0.54,37.260000000000005
2023-12-09,61,54.0,,0.54,32.940000000000005
2023-12-10,52,43.0,False,0.43,22.36
2023-12-11,78,43.0,,0.43,33.54
2023-12-12,59,43.0,,0.43,25.37
2023-12-13,60,43.0,,0.43,25.8
2023-12-14,61,43.0,,0.43,26.23
2023-12-15,56,43.0,,0.43,24.08
2023-12-16,47,43.0,,0.43,20.21
2023-12-17,43,35.0,False,0.35,15.049999999999999
2023-12-18,54,35.0,,0.35,18.9
2023-12-19,57,35.0,,0.35,19.95
2023-12-20,62,35.0,,0.35,21.7
2023-12-21,60,35.0,,0.35,21.0
2023-12-22,59,35.0,,0.35,20.65
2023-12-23,46,35.0,,0.35,16.099999999999998
2023-12-24,49,34.0,False,0.34,16.66
2023-12-25,45,34.0,,0.34,15.3
2023-12-26,56,34.0,,0.34,19.040000000000003
2023-12-27,62,34.0,,0.34,21.080000000000002
2023-12-28,56,34.0,,0.34,19.040000000000003
2023-12-29,51,34.0,,0.34,17.34
2023-12-30,44,34.0,,0.34,14.96
2023-12-31,43,46.0,False,0.46,19.78
2024-01-01,24,46.0,,0.46,11.040000000000001
2024-01-02,48,46.0,,0.46,22.080000000000002
2024-01-03,45,46.0,,0.46,20.7
2024-01-04,43,46.0,,0.46,19.78
2024-01-05,39,46.0,,0.46,17.94
2024-01-06,27,46.0,,0.46,12.42
2024-01-07,28,81.0,False,0.81,22.68
2024-01-08,48,81.0,,0.81,38.88
2024-01-09,58,81.0,,0.81,46.980000000000004
2024-01-10,91,81.0,,0.81,73.71000000000001
2024-01-11,100,81.0,,0.81,81.0
2024-01-12,56,81.0,,0.81,45.36
2024-01-13,42,81.0,,0.81,34.02
2024-01-14,33,36.0,False,0.36,11.879999999999999
2024-01-15,37,36.0,,0.36,13.32
2024-01-16,33,36.0,,0.36,11.879999999999999
2024-01-17,33,36.0,,0.36,11.879999999999999
2024-01-18,33,36.0,,0.36,11.879999999999999
2024-01-19,32,36.0,,0.36,11.52
2024-01-20,25,36.0,,0.36,9.0
2024-01-21,21,34.0,False,0.34,7.140000000000001
2024-01-22,33,34.0,,0.34,11.22
2024-01-23,35,34.0,,0.34,11.9
2024-01-24,32,34.0,,0.34,10.88
2024-01-25,27,34.0,,0.34,9.180000000000001
2024-01-26,28,34.0,,0.34,9.520000000000001
2024-01-27,23,34.0,,0.34,7.82
2024-01-28,21,38.0,True,0.38,7.98
2024-01-29,27,38.0,,0.38,10.26
2024-01-30,28,38.0,,0.38,10.64
2024-01-31,24,38.0,,0.38,9.120000000000001
