date,ICO_unscaled,ICO_monthly,isPartial,scale,ICO
2023-09-14,100,79.0,,0.79,79.0
2023-09-15,80,79.0,,0.79,63.2
2023-09-16,75,79.0,,0.79,59.25
2023-09-17,80,73.0,False,0.73,58.4
2023-09-18,87,73.0,,0.73,63.51
2023-09-19,86,73.0,,0.73,62.78
2023-09-20,78,73.0,,0.73,56.94
2023-09-21,90,73.0,,0.73,65.7
2023-09-22,72,73.0,,0.73,52.56
2023-09-23,64,73.0,,0.73,46.72
2023-09-24,81,73.0,False,0.73,59.129999999999995
2023-09-25,97,73.0,,0.73,70.81
2023-09-26,63,73.0,,0.73,45.99
2023-09-27,59,73.0,,0.73,43.07
2023-09-28,90,73.0,,0.73,65.7
2023-09-29,78,73.0,,0.73,56.94
2023-09-30,69,73.0,,0.73,50.37
2023-10-01,72,74.0,False,0.74,53.28
2023-10-02,62,74.0,,0.74,45.88
2023-10-03,67,74.0,,0.74,49.58
2023-10-04,60,74.0,,0.74,44.4
2023-10-05,63,74.0,,0.74,46.62
2023-10-06,65,74.0,,0.74,48.1
2023-10-07,70,74.0,,0.74,51.8
2023-10-08,53,79.0,False,0.79,41.870000000000005
2023-10-09,64,79.0,,0.79,50.56
2023-10-10,100,79.0,,0.79,79.0
2023-10-11,59,79.0,,0.79,46.61
2023-10-12,52,79.0,,0.79,41.08
2023-10-13,57,79.0,,0.79,45.03
2023-10-14,64,79.0,,0.79,50.56
2023-10-15,47,82.0,False,0.82,38.54
2023-10-16,63,82.0,,0.82,51.66
2023-10-17,78,82.0,,0.82,63.959999999999994
2023-10-18,69,82.0,,0.82,56.58
2023-10-19,74,82.0,,0.82,60.68
2023-10-20,51,82.0,,0.82,41.82
2023-10-21,64,82.0,,0.82,52.48
2023-10-22,54,70.0,False,0.7,37.8
2023-10-23,71,70.0,,0.7,49.699999999999996
2023-10-24,53,70.0,,0.7,37.099999999999994
2023-10-25,84,70.0,,0.7,58.8
2023-10-26,62,70.0,,0.7,43.4
2023-10-27,47,70.0,,0.7,32.9
2023-10-28,55,70.0,,0.7,38.5
2023-10-29,67,74.0,False,0.74,49.58
2023-10-30,54,74.0,,0.74,39.96
2023-10-31,60,74.0,,0.74,44.4
2023-11-01,82,74.0,,0.74,60.68
2023-11-02,93,74.0,,0.74,68.82
2023-11-03,81,74.0,,0.74,59.94
2023-11-04,54,74.0,,0.74,39.96
2023-11-05,75,73.0,False,0.73,54.75
2023-11-06,81,73.0,,0.73,59.129999999999995
2023-11-07,78,73.0,,0.73,56.94
2023-11-08,68,73.0,,0.73,49.64
2023-11-09,70,73.0,,0.73,51.1
2023-11-10,67,73.0,,0.73,48.91
2023-11-11,60,73.0,,0.73,43.8
2023-11-12,64,76.0,False,0.76,48.64
2023-11-13,77,76.0,,0.76,58.52
2023-11-14,61,76.0,,0.76,46.36
2023-11-15,72,76.0,,0.76,54.72
2023-11-16,62,76.0,,0.76,47.12
2023-11-17,83,76.0,,0.76,63.08
2023-11-18,78,76.0,,0.76,59.28
2023-11-19,60,71.0,False,0.71,42.599999999999994
2023-11-20,81,71.0,,0.71,57.51
2023-11-21,100,71.0,,0.71,71.0
2023-11-22,86,71.0,,0.71,61.059999999999995
2023-11-23,58,71.0,,0.71,41.18
2023-11-24,74,71.0,,0.71,52.54
2023-11-25,65,71.0,,0.71,46.15
2023-11-26,68,80.0,False,0.8,54.400000000000006
2023-11-27,73,80.0,,0.8,58.400000000000006
2023-11-28,97,80.0,,0.8,77.60000000000001
2023-11-29,87,80.0,,0.8,69.60000000000001
2023-11-30,86,80.0,,0.8,68.8
2023-12-01,83,80.0,,0.8,66.4
2023-12-02,63,80.0,,0.8,50.400000000000006
2023-12-03,78,78.0,False,0.78,60.84
2023-12-04,77,78.0,,0.78,60.06
2023-12-05,81,78.0,,0.78,63.18
2023-12-06,65,78.0,,0.78,50.7
2023-12-07,78,78.0,,0.78,60.84
2023-12-08,100,78.0,,0.78,78.0
2023-12-09,64,78.0,,0.78,49.92
2023-12-10,73,80.0,False,0.8,58.400000000000006
2023-12-11,84,80.0,,0.8,67.2
2023-12-12,72,80.0,,0.8,57.6
2023-12-13,80,80.0,,0.8,64.0
2023-12-14,52,80.0,,0.8,41.6
2023-12-15,79,80.0,,0.8,63.2
2023-12-16,82,80.0,,0.8,65.60000000000001
2023-12-17,50,72.0,False,0.72,36.0
2023-12-18,69,72.0,,0.72,49.68
2023-12-19,74,72.0,,0.72,53.28
2023-12-20,76,72.0,,0.72,54.72
2023-12-21,79,72.0,,0.72,56.879999999999995
2023-12-22,75,72.0,,0.72,54.0
2023-12-23,54,72.0,,0.72,38.879999999999995
2023-12-24,70,77.0,False,0.77,53.9
2023-12-25,86,77.0,,0.77,66.22
2023-12-26,62,77.0,,0.77,47.74
2023-12-27,80,77.0,,0.77,61.6
2023-12-28,68,77.0,,0.77,52.36
2023-12-29,71,77.0,,0.77,54.67
2023-12-30,70,77.0,,0.77,53.9
2023-12-31,68,100.0,False,1.0,68.0
2024-01-01,59,100.0,,1.0,59.0
2024-01-02,59,100.0,,1.0,59.0
2024-01-03,73,100.0,,1.0,73.0
2024-01-04,87,100.0,,1.0,87.0
2024-01-05,75,100.0,,1.0,75.0
2024-01-06,100,100.0,,1.0,100.0
2024-01-07,76,91.0,False,0.91,69.16
2024-01-08,73,91.0,,0.91,66.43
2024-01-09,58,91.0,,0.91,52.78
2024-01-10,72,91.0,,0.91,65.52
2024-01-11,70,91.0,,0.91,63.7
2024-01-12,57,91.0,,0.91,51.870000000000005
2024-01-13,65,91.0,,0.91,59.15
2024-01-14,70,78.0,False,0.78,54.6
2024-01-15,52,78.0,,0.78,40.56
2024-01-16,58,78.0,,0.78,45.24
2024-01-17,67,78.0,,0.78,52.260000000000005
2024-01-18,55,78.0,,0.78,42.9
2024-01-19,54,78.0,,0.78,42.120000000000005
2024-01-20,53,78.0,,0.78,41.34
2024-01-21,47,83.0,False,0.83,39.01
2024-01-22,62,83.0,,0.83,51.46
2024-01-23,68,83.0,,0.83,56.44
2024-01-24,71,83.0,,0.83,58.93
2024-01-25,45,83.0,,0.83,37.35
2024-01-26,62,83.0,,0.83,51.46
2024-01-27,57,83.0,,0.83,47.309999999999995
2024-01-28,67,87.0,True,0.87,58.29
2024-01-29,65,87.0,,0.87,56.55
2024-01-30,63,87.0,,0.87,54.81
2024-01-31,73,87.0,,0.87,63.51
