date,BIT_unscaled,BIT_monthly,isPartial,scale,BIT
2023-08-25,88,79.0,,0.79,69.52000000000001
2023-08-26,99,79.0,,0.79,78.21000000000001
2023-08-27,100,79.0,False,0.79,79.0
2023-08-28,90,79.0,,0.79,71.10000000000001
2023-08-29,99,79.0,,0.79,78.21000000000001
2023-08-30,94,79.0,,0.79,74.26
2023-08-31,95,79.0,,0.79,75.05
2023-09-01,89,79.0,,0.79,70.31
2023-09-02,87,79.0,,0.79,68.73
2023-09-03,97,85.0,False,0.85,82.45
2023-09-04,100,85.0,,0.85,85.0
2023-09-05,90,85.0,,0.85,76.5
2023-09-06,91,85.0,,0.85,77.35
2023-09-07,92,85.0,,0.85,78.2
2023-09-08,87,85.0,,0.85,73.95
2023-09-09,86,85.0,,0.85,73.1
2023-09-10,93,85.0,False,0.85,79.05
2023-09-11,83,85.0,,0.85,70.55
2023-09-12,92,85.0,,0.85,78.2
2023-09-13,80,85.0,,0.85,68.0
2023-09-14,97,85.0,,0.85,82.45
2023-09-15,96,85.0,,0.85,81.6
2023-09-16,89,85.0,,0.85,75.64999999999999
2023-09-17,87,86.0,False,0.86,74.82
2023-09-18,91,86.0,,0.86,78.26
2023-09-19,92,86.0,,0.86,79.12
2023-09-20,93,86.0,,0.86,79.98
2023-09-21,92,86.0,,0.86,79.12
2023-09-22,86,86.0,,0.86,73.96
2023-09-23,89,86.0,,0.86,76.53999999999999
2023-09-24,91,79.0,False,0.79,71.89
2023-09-25,89,79.0,,0.79,70.31
2023-09-26,91,79.0,,0.79,71.89
2023-09-27,90,79.0,,0.79,71.10000000000001
2023-09-28,93,79.0,,0.79,73.47
2023-09-29,89,79.0,,0.79,70.31
2023-09-30,88,79.0,,0.79,69.52000000000001
2023-10-01,81,81.0,False,0.81,65.61
2023-10-02,84,81.0,,0.81,68.04
2023-10-03,85,81.0,,0.81,68.85000000000001
2023-10-04,87,81.0,,0.81,70.47
2023-10-05,82,81.0,,0.81,66.42
2023-10-06,81,81.0,,0.81,65.61
2023-10-07,84,81.0,,0.81,68.04
2023-10-08,81,92.0,False,0.92,74.52000000000001
2023-10-09,88,92.0,,0.92,80.96000000000001
2023-10-10,91,92.0,,0.92,83.72
2023-10-11,88,92.0,,0.92,80.96000000000001
2023-10-12,86,92.0,,0.92,79.12
2023-10-13,83,92.0,,0.92,76.36
2023-10-14,82,92.0,,0.92,75.44
2023-10-15,85,87.0,False,0.87,73.95
2023-10-16,78,87.0,,0.87,67.86
2023-10-17,91,87.0,,0.87,79.17
2023-10-18,88,87.0,,0.87,76.56
2023-10-19,87,87.0,,0.87,75.69
2023-10-20,89,87.0,,0.87,77.42999999999999
2023-10-21,89,87.0,,0.87,77.42999999999999
2023-10-22,88,82.0,False,0.82,72.16
2023-10-23,100,82.0,,0.82,82.0
2023-10-24,87,82.0,,0.82,71.33999999999999
2023-10-25,88,82.0,,0.82,72.16
2023-10-26,91,82.0,,0.82,74.61999999999999
2023-10-27,83,82.0,,0.82,68.06
2023-10-28,80,82.0,,0.82,65.6
2023-10-29,80,81.0,False,0.81,64.80000000000001
2023-10-30,82,81.0,,0.81,66.42
2023-10-31,81,81.0,,0.81,65.61
2023-11-01,90,81.0,,0.81,72.9
2023-11-02,99,81.0,,0.81,80.19000000000001
2023-11-03,91,81.0,,0.81,73.71000000000001
2023-11-04,94,81.0,,0.81,76.14
2023-11-05,92,84.0,False,0.84,77.28
2023-11-06,90,84.0,,0.84,75.6
2023-11-07,94,84.0,,0.84,78.96
2023-11-08,94,84.0,,0.84,78.96
2023-11-09,91,84.0,,0.84,76.44
2023-11-10,92,84.0,,0.84,77.28
2023-11-11,96,84.0,,0.84,80.64
2023-11-12,94,80.0,False,0.8,75.2
2023-11-13,91,80.0,,0.8,72.8
2023-11-14,96,80.0,,0.8,76.80000000000001
2023-11-15,93,80.0,,0.8,74.4
2023-11-16,94,80.0,,0.8,75.2
2023-11-17,91,80.0,,0.8,72.8
2023-11-18,89,80.0,,0.8,71.2
2023-11-19,91,82.0,False,0.82,74.61999999999999
2023-11-20,93,82.0,,0.82,76.25999999999999
2023-11-21,96,82.0,,0.82,78.72
2023-11-22,92,82.0,,0.82,75.44
2023-11-23,89,82.0,,0.82,72.97999999999999
2023-11-24,91,82.0,,0.82,74.61999999999999
2023-11-25,100,82.0,,0.82,82.0
2023-11-26,98,93.0,False,0.93,91.14
2023-11-27,93,93.0,,0.93,86.49000000000001
2023-11-28,97,93.0,,0.93,90.21000000000001
2023-11-29,96,93.0,,0.93,89.28
2023-11-30,92,93.0,,0.93,85.56
2023-12-01,77,93.0,,0.93,71.61
2023-12-02,84,93.0,,0.93,78.12
2023-12-03,75,83.0,False,0.83,62.25
2023-12-04,82,83.0,,0.83,68.06
2023-12-05,82,83.0,,0.83,68.06
2023-12-06,86,83.0,,0.83,71.38
2023-12-07,88,83.0,,0.83,73.03999999999999
2023-12-08,89,83.0,,0.83,73.86999999999999
2023-12-09,80,83.0,,0.83,66.39999999999999
2023-12-10,81,91.0,False,0.91,73.71000000000001
2023-12-11,81,91.0,,0.91,73.71000000000001
2023-12-12,81,91.0,,0.91,73.71000000000001
2023-12-13,79,91.0,,0.91,71.89
2023-12-14,81,91.0,,0.91,73.71000000000001
2023-12-15,95,91.0,,0.91,86.45
2023-12-16,82,91.0,,0.91,74.62
2023-12-17,83,84.0,False,0.84,69.72
2023-12-18,76,84.0,,0.84,63.839999999999996
2023-12-19,100,84.0,,0.84,84.0
2023-12-20,84,84.0,,0.84,70.56
2023-12-21,84,84.0,,0.84,70.56
2023-12-22,80,84.0,,0.84,67.2
2023-12-23,79,84.0,,0.84,66.36
2023-12-24,84,87.0,False,0.87,73.08
2023-12-25,80,87.0,,0.87,69.6
2023-12-26,82,87.0,,0.87,71.34
2023-12-27,86,87.0,,0.87,74.82
2023-12-28,84,87.0,,0.87,73.08
2023-12-29,77,87.0,,0.87,66.99
2023-12-30,90,87.0,,0.87,78.3
2023-12-31,76,83.0,False,0.83,63.08
2024-01-01,72,83.0,,0.83,59.76
2024-01-02,72,83.0,,0.83,59.76
2024-01-03,75,83.0,,0.83,62.25
2024-01-04,82,83.0,,0.83,68.06
2024-01-05,71,83.0,,0.83,58.93
2024-01-06,78,83.0,,0.83,64.74
2024-01-07,77,85.0,False,0.85,65.45
2024-01-08,70,85.0,,0.85,59.5
2024-01-09,73,85.0,,0.85,62.05
2024-01-10,79,85.0,,0.85,67.14999999999999
2024-01-11,78,85.0,,0.85,66.3
2024-01-12,71,85.0,,0.85,60.35
2024-01-13,75,85.0,,0.85,63.75
2024-01-14,73,88.0,False,0.88,64.24
2024-01-15,75,88.0,,0.88,66.0
2024-01-16,66,88.0,,0.88,58.08
2024-01-17,76,88.0,,0.88,66.88
2024-01-18,74,88.0,,0.88,65.12
2024-01-19,74,88.0,,0.88,65.12
2024-01-20,78,88.0,,0.88,68.64
2024-01-21,74,94.0,False,0.94,69.56
2024-01-22,72,94.0,,0.94,67.67999999999999
2024-01-23,76,94.0,,0.94,71.44
2024-01-24,100,94.0,,0.94,94.0
2024-01-25,80,94.0,,0.94,75.19999999999999
2024-01-26,73,94.0,,0.94,68.61999999999999
2024-01-27,91,94.0,,0.94,85.53999999999999
2024-01-28,76,83.0,True,0.83,63.08
2024-01-29,72,83.0,,0.83,59.76
2024-01-30,77,83.0,,0.83,63.91
2024-01-31,78,83.0,,0.83,64.74
