date,/m/05p0rrx_unscaled,/m/05p0rrx_monthly,isPartial,scale,/m/05p0rrx
2024-01-05,40,37.0,,0.37,14.8
2024-01-06,32,37.0,,0.37,11.84
2024-01-07,28,64.0,False,0.64,17.92
2024-01-08,49,64.0,,0.64,31.36
2024-01-09,60,64.0,,0.64,38.4
2024-01-10,95,64.0,,0.64,60.800000000000004
2024-01-11,100,64.0,,0.64,64.0
2024-01-12,63,64.0,,0.64,40.32
2024-01-13,43,64.0,,0.64,27.52
2024-01-14,33,33.0,False,0.33,10.89
2024-01-15,36,33.0,,0.33,11.88
2024-01-16,36,33.0,,0.33,11.88
2024-01-17,34,33.0,,0.33,11.22
2024-01-18,32,33.0,,0.33,10.56
2024-01-19,32,33.0,,0.33,10.56
2024-01-20,26,33.0,,0.33,8.58
2024-01-21,21,29.0,False,0.29,6.09
2024-01-22,32,29.0,,0.29,9.28
2024-01-23,35,29.0,,0.29,10.149999999999999
2024-01-24,32,29.0,,0.29,9.28
2024-01-25,27,29.0,,0.29,7.829999999999999
2024-01-26,27,29.0,,0.29,7.829999999999999
2024-01-27,21,29.0,,0.29,6.09
2024-01-28,19,24.0,True,0.24,4.56
2024-01-29,26,24.0,,0.24,6.24
2024-01-30,25,24.0,,0.24,6.0
