date,/m/060b5_unscaled,/m/060b5_monthly,isPartial,scale,/m/060b5
2023-11-01,92,90.0,,0.9,82.8
2023-11-02,81,90.0,,0.9,72.9
2023-11-03,72,90.0,,0.9,64.8
2023-11-04,57,90.0,,0.9,51.300000000000004
2023-11-05,63,87.0,False,0.87,54.81
2023-11-06,85,87.0,,0.87,73.95
2023-11-07,89,87.0,,0.87,77.42999999999999
2023-11-08,74,87.0,,0.87,64.38
2023-11-09,77,87.0,,0.87,66.99
2023-11-10,71,87.0,,0.87,61.77
2023-11-11,59,87.0,,0.87,51.33
2023-11-12,84,100.0,False,1.0,84.0
2023-11-13,100,100.0,,1.0,100.0
2023-11-14,89,100.0,,1.0,89.0
2023-11-15,95,100.0,,1.0,95.0
2023-11-16,90,100.0,,1.0,90.0
2023-11-17,93,100.0,,1.0,93.0
2023-11-18,53,100.0,,1.0,53.0
2023-11-19,56,70.0,False,0.7,39.199999999999996
2023-11-20,73,70.0,,0.7,51.099999999999994
2023-11-21,66,70.0,,0.7,46.199999999999996
2023-11-22,62,70.0,,0.7,43.4
2023-11-23,73,70.0,,0.7,51.099999999999994
2023-11-24,50,70.0,,0.7,35.0
2023-11-25,53,70.0,,0.7,37.099999999999994
2023-11-26,49,88.0,False,0.88,43.12
2023-11-27,73,88.0,,0.88,64.24
2023-11-28,86,88.0,,0.88,75.68
2023-11-29,77,88.0,,0.88,67.76
2023-11-30,75,88.0,,0.88,66.0
2023-12-01,79,88.0,,0.88,69.52
2023-12-02,69,88.0,,0.88,60.72
2023-12-03,73,90.0,False,0.9,65.7
2023-12-04,92,90.0,,0.9,82.8
2023-12-05,88,90.0,,0.9,79.2
2023-12-06,100,90.0,,0.9,90.0
2023-12-07,86,90.0,,0.9,77.4
2023-12-08,86,90.0,,0.9,77.4
2023-12-09,57,90.0,,0.9,51.300000000000004
2023-12-10,47,81.0,False,0.81,38.07
2023-12-11,80,81.0,,0.81,64.80000000000001
2023-12-12,79,81.0,,0.81,63.99
2023-12-13,77,81.0,,0.81,62.370000000000005
2023-12-14,78,81.0,,0.81,63.18000000000001
2023-12-15,71,81.0,,0.81,57.510000000000005
2023-12-16,65,81.0,,0.81,52.650000000000006
2023-12-17,57,73.0,False,0.73,41.61
2023-12-18,67,73.0,,0.73,48.91
2023-12-19,71,73.0,,0.73,51.83
2023-12-20,73,73.0,,0.73,53.29
2023-12-21,80,73.0,,0.73,58.4
2023-12-22,62,73.0,,0.73,45.26
2023-12-23,57,73.0,,0.73,41.61
2023-12-24,42,62.0,False,0.62,26.04
2023-12-25,38,62.0,,0.62,23.56
2023-12-26,53,62.0,,0.62,32.86
2023-12-27,73,62.0,,0.62,45.26
2023-12-28,68,62.0,,0.62,42.16
2023-12-29,57,62.0,,0.62,35.339999999999996
2023-12-30,41,62.0,,0.62,25.419999999999998
2023-12-31,39,76.0,False,0.76,29.64
2024-01-01,34,76.0,,0.76,25.84
2024-01-02,61,76.0,,0.76,46.36
2024-01-03,77,76.0,,0.76,58.52
2024-01-04,54,76.0,,0.76,41.04
2024-01-05,69,76.0,,0.76,52.44
2024-01-06,37,76.0,,0.76,28.12
2024-01-07,52,87.0,False,0.87,45.24
2024-01-08,58,87.0,,0.87,50.46
2024-01-09,71,87.0,,0.87,61.77
2024-01-10,85,87.0,,0.87,73.95
2024-01-11,62,87.0,,0.87,53.94
2024-01-12,53,87.0,,0.87,46.11
2024-01-13,41,87.0,,0.87,35.67
2024-01-14,53,80.0,False,0.8,42.400000000000006
2024-01-15,50,80.0,,0.8,40.0
2024-01-16,55,80.0,,0.8,44.0
2024-01-17,68,80.0,,0.8,54.400000000000006
2024-01-18,51,80.0,,0.8,40.800000000000004
2024-01-19,64,80.0,,0.8,51.2
2024-01-20,62,80.0,,0.8,49.6
2024-01-21,46,91.0,False,0.91,41.86
2024-01-22,75,91.0,,0.91,68.25
2024-01-23,100,91.0,,0.91,91.0
2024-01-24,65,91.0,,0.91,59.15
2024-01-25,79,91.0,,0.91,71.89
2024-01-26,48,91.0,,0.91,43.68
2024-01-27,57,91.0,,0.91,51.870000000000005
2024-01-28,48,94.0,True,0.94,45.12
2024-01-29,67,94.0,,0.94,62.98
2024-01-30,76,94.0,,0.94,71.44
2024-01-31,84,94.0,,0.94,78.96
