time,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-04-19 02:00:00+00:00,40775.0234375,40775.0234375,40664.1640625,40664.1640625,0,0,0
2022-04-19 03:00:00+00:00,40654.6015625,40750.1953125,40648.04296875,40712.375,97632256,0,0
2022-04-19 04:00:00+00:00,40713.4296875,40854.8125,40697.796875,40844.91015625,0,0,0
2022-04-19 05:00:00+00:00,40846.90625,40858.5078125,40691.16015625,40691.16015625,0,0,0
2022-04-19 06:00:00+00:00,40690.28125,40792.6953125,40680.9765625,40732.9765625,0,0,0
2022-04-19 07:00:00+00:00,40719.83203125,40739.80078125,40618.6328125,40674.91015625,0,0,0
2022-04-19 08:00:00+00:00,40685.1484375,40830.41015625,40685.1484375,40752.8984375,0,0,0
2022-04-19 09:00:00+00:00,40740.0546875,40764.6171875,40636.62890625,40655.78125,0,0,0
2022-04-19 10:00:00+00:00,40674.8359375,40787.6015625,40669.7734375,40787.6015625,0,0,0
2022-04-19 11:00:00+00:00,40801.796875,40869.41796875,40764.828125,40771.2890625,234029056,0,0
2022-04-19 12:00:00+00:00,40725.8125,41034.66015625,40725.8125,40964.3046875,106108928,0,0
2022-04-19 13:00:00+00:00,40968.81640625,41392.67578125,40882.8515625,41392.67578125,757213184,0,0
2022-04-19 14:00:00+00:00,41432.98828125,41612.7578125,41432.98828125,41604.74609375,879857664,0,0
2022-04-19 15:00:00+00:00,41588.42578125,41672.9609375,41433.859375,41477.109375,359272448,0,0
2022-04-19 16:00:00+00:00,41467.31640625,41525.6796875,41298.58984375,41353.2734375,0,0,0
2022-04-19 17:00:00+00:00,41350.6796875,41362.51953125,41235.66015625,41337.62890625,0,0,0
2022-04-19 18:00:00+00:00,41350.671875,41456.58984375,41334.05859375,41409.0625,0,0,0
2022-04-19 19:00:00+00:00,41414.87109375,41519.2890625,41391.55078125,41419.31640625,0,0,0
2022-04-19 20:00:00+00:00,41418.2421875,41418.2421875,41254.46875,41293.83984375,0,0,0
2022-04-19 21:00:00+00:00,41300.47265625,41367.74609375,41274.03515625,41316.453125,0,0,0
2022-04-19 22:00:00+00:00,41317.65234375,41440.78515625,41315.1953125,41401.296875,0,0,0
2022-04-19 23:00:00+00:00,41397.375,41510.4140625,41397.375,41502.28125,0,0,0
2022-04-20 00:00:00+00:00,41495.515625,41514.2265625,41295.7578125,41340.625,0,0,0
2022-04-20 01:00:00+00:00,41327.9375,41370.98046875,41278.4140625,41362.2734375,0,0,0
2022-04-20 02:00:00+00:00,41353.15234375,41386.875,41333.1171875,41364.94921875,0,0,0
2022-04-20 03:00:00+00:00,41372.625,41384.53125,41321.3046875,41377.24609375,0,0,0
2022-04-20 04:00:00+00:00,41385.40625,41385.40625,41279.51171875,41318.58203125,0,0,0
2022-04-20 05:00:00+00:00,41325.33984375,41440.80859375,41313.51953125,41440.80859375,257402880,0,0
2022-04-20 06:00:00+00:00,41445.2109375,41448.40234375,41401.37109375,41441.25390625,171950080,0,0
2022-04-20 07:00:00+00:00,41444.296875,41526.15234375,41333.8046875,41356.51953125,323311616,0,0
2022-04-20 08:00:00+00:00,41355.6640625,41476.15625,41332.9375,41476.15625,166176768,0,0
2022-04-20 09:00:00+00:00,41477.76171875,41605.73046875,41473.6953125,41535.62890625,215670784,0,0
2022-04-20 10:00:00+00:00,41538.88671875,41822.7421875,41477.546875,41795.54296875,1051004928,0,0
2022-04-20 11:00:00+00:00,41801.34375,42111.625,41745.74609375,42074.328125,1193687040,0,0
2022-04-20 12:00:00+00:00,42081.9765625,42126.30078125,41991.01171875,42119.33984375,257742848,0,0
2022-04-20 13:00:00+00:00,42117.8359375,42118.37109375,41583.46484375,41583.46484375,0,0,0
2022-04-20 14:00:00+00:00,41594.03125,41711.890625,41571.23046875,41581.796875,0,0,0
2022-04-20 15:00:00+00:00,41577.87890625,41577.87890625,41141.40234375,41273.13671875,503300096,0,0
2022-04-20 16:00:00+00:00,41267.56640625,41379.1875,41092.66796875,41370.9375,0,0,0
2022-04-20 17:00:00+00:00,41372.07421875,41419.08984375,41325.71484375,41339.578125,56614912,0,0
2022-04-20 18:00:00+00:00,41346.296875,41366.3984375,40961.09765625,40961.09765625,361629696,0,0
2022-04-20 19:00:00+00:00,40969.359375,41243.125,40969.359375,41205.27734375,464564224,0,0
2022-04-20 20:00:00+00:00,41193.89453125,41405.28125,41166.78515625,41405.28125,267108352,0,0
2022-04-20 21:00:00+00:00,41406.3203125,41571.66015625,41395.58203125,41493.87890625,288110592,0,0
2022-04-20 22:00:00+00:00,41494.60546875,41564.2890625,41477.26171875,41494.30078125,227897344,0,0
2022-04-20 23:00:00+00:00,41494.6953125,41494.6953125,41356.1015625,41377.84375,5011456,0,0
2022-04-21 00:00:00+00:00,41371.515625,41544.71875,41360.6015625,41539.38671875,179826688,0,0
2022-04-21 01:00:00+00:00,41542.390625,41717.1875,41495.18359375,41671.0,469258240,0,0
2022-04-21 02:00:00+00:00,41672.171875,41703.25,41598.89453125,41639.07421875,0,0,0
2022-04-21 03:00:00+00:00,41639.94140625,41688.98828125,41605.75390625,41688.98828125,208035840,0,0
2022-04-21 04:00:00+00:00,41688.48046875,41729.20703125,41567.28515625,41610.90625,186984448,0,0
2022-04-21 05:00:00+00:00,41612.5625,41669.98046875,41472.7734375,41476.47265625,238114816,0,0
2022-04-21 06:00:00+00:00,41475.95703125,41572.90234375,41462.82421875,41536.8203125,177278976,0,0
2022-04-21 07:00:00+00:00,41530.6328125,41793.26953125,41498.91015625,41793.26953125,127262720,0,0
2022-04-21 08:00:00+00:00,41792.55859375,41962.3671875,41778.4375,41921.4296875,895590400,0,0
2022-04-21 09:00:00+00:00,41923.55078125,41924.640625,41772.921875,41817.05078125,163837952,0,0
2022-04-21 10:00:00+00:00,41818.17578125,42345.4140625,41797.78515625,42283.92578125,1234391040,0,0
2022-04-21 11:00:00+00:00,42273.58203125,42559.89453125,42261.078125,42432.4609375,196429824,0,0
2022-04-21 12:00:00+00:00,42442.93359375,42709.74609375,42416.109375,42709.74609375,712701952,0,0
2022-04-21 13:00:00+00:00,42699.90234375,42893.58203125,42637.8203125,42702.37890625,433686528,0,0
